	DUHS_A549	DUHS_Cd20ro01794	DUHS_Gm12878	DUHS_H1hesc	DUHS_H7hesc	DUHS_Helas3Ifna4h	DUHS_Helas3	DUHS_Hepg2	DUHS_Huvec	DUHS_Imr90	DUHS_K562G1phase	DUHS_K562G2mphase	DUHS_K562Nabut	DUHS_K562Saha1u72hr	DUHS_K562Sahactrl	DUHS_K562	DUHS_LNCaP	DUHS_Mcf7Ctcfshrna	DUHS_Mcf7Hypoxlac	DUHS_Mcf7Randshrna	DUHS_Mcf7	DUHS_Monocd14	DUHS_NakedK562	DUHS_NakedMcf7	DUHS_Sknsh	UWDGF_A549	UWDGF_Cd20ro01778	UWDGF_H7hesc	UWDGF_Hepg2	UWDGF_Huvec	UWDGF_K562Znfa41c6	UWDGF_K562Znfp5	UWDGF_K562	UWDGF_Lhcnm2Diff4d	UWDGF_Lhcnm2	UWDGF_NakedIMR90	UWDGF_m3134	UWHS_A549	UWHS_Cd20ro01778	UWHS_Gm12878	UWHS_H1hesc	UWHS_Helas3	UWHS_Hepg2	UWHS_Huvec	UWHS_K562Znf2c10c5	UWHS_K562Znf4c50c4	UWHS_K562Znf4g7d3	UWHS_K562Znfa41c6	UWHS_K562Znfb34a8	UWHS_K562Znfe103c6	UWHS_K562Znff41b2	UWHS_K562Znfg54a11	UWHS_K562Znfp5	UWHS_K562	UWHS_Lhcnm2Diff4d	UWHS_Lhcnm2	UWHS_Mcf7Est100nm1h	UWHS_Mcf7Estctrl0h	UWHS_Mcf7	UWHS_Monocd14	UWHS_Monocd14ro1746
DUHS_K562G1phase	0.918725	0.956214	0.921643	0.862427	0.867463	0.819146	0.894974	0.9214	0.843471	0.90698	1	0.99671	0.972567	0.9613	0.954605	0.972814	0.939132	0.938231	0.935067	0.937047	0.83187	0.872159	0.347233	0.495168	0.949641	0.551879	0.658172	0.538492	0.690493	0.545704	0.621136	0.62941	0.594035	0.594997	0.548568	0.125284	0.576773	0.487405	0.624735	0.558979	0.540119	0.489933	0.673059	0.443481	0.529239	0.489516	0.508149	0.548757	0.495444	0.521556	0.555948	0.498517	0.607589	0.59467	0.58322	0.522322	0.511565	0.507724	0.559339	0.516319	0.568907
DUHS_K562G2mphase	0.905668	0.943097	0.911758	0.848335	0.868774	0.785916	0.871284	0.899924	0.812399	0.884655	0.99671	1	0.969724	0.953567	0.960576	0.970833	0.928782	0.922969	0.920911	0.944344	0.80896	0.874425	0.297891	0.446055	0.960007	0.517162	0.627981	0.503614	0.664308	0.509104	0.588392	0.595403	0.557957	0.554312	0.506019	0.085113	0.546827	0.449313	0.591852	0.522659	0.502241	0.45203	0.645103	0.404053	0.49231	0.454646	0.469192	0.51238	0.457481	0.484917	0.522081	0.459236	0.570762	0.556911	0.542417	0.479559	0.473968	0.470018	0.523019	0.478265	0.533296
DUHS_K562Nabut	0.951051	0.976126	0.962548	0.84363	0.832927	0.845595	0.902001	0.937233	0.869459	0.934783	0.972567	0.969724	1	0.969039	0.969547	0.993782	0.972216	0.96815	0.946932	0.955195	0.870724	0.891116	0.407356	0.549296	0.957224	0.605923	0.697875	0.607222	0.733976	0.600267	0.666626	0.665653	0.650561	0.614561	0.581039	0.200907	0.643285	0.549892	0.669269	0.607169	0.601735	0.562971	0.725677	0.513789	0.584616	0.557618	0.563649	0.603069	0.549194	0.580963	0.622421	0.549654	0.645621	0.654	0.610077	0.56385	0.565032	0.561683	0.61656	0.57078	0.617919
DUHS_K562Saha1u72hr	0.918787	0.967751	0.920984	0.917519	0.855644	0.860579	0.943265	0.953658	0.879449	0.915224	0.9613	0.953567	0.969039	1	0.967438	0.969971	0.944994	0.951061	0.958048	0.925628	0.837102	0.912705	0.415637	0.553232	0.943669	0.544137	0.640886	0.542113	0.687152	0.545995	0.604688	0.60794	0.59523	0.57073	0.531926	0.155365	0.58044	0.479979	0.60708	0.537505	0.535593	0.498986	0.671188	0.442132	0.519488	0.482058	0.500374	0.529812	0.484234	0.506527	0.554142	0.489064	0.586912	0.60132	0.559598	0.50668	0.502752	0.499188	0.549031	0.499949	0.552552
DUHS_K562Sahactrl	0.902829	0.936867	0.923279	0.835026	0.857497	0.767879	0.871222	0.889477	0.783737	0.850655	0.954605	0.960576	0.969547	0.967438	1	0.979018	0.940513	0.923604	0.922541	0.970848	0.810523	0.930631	0.28857	0.422642	0.986752	0.46588	0.559621	0.467633	0.619666	0.458798	0.523906	0.525421	0.51517	0.473379	0.430851	0.078873	0.515187	0.405004	0.52497	0.464076	0.464387	0.432008	0.604403	0.370048	0.442421	0.412495	0.421208	0.451551	0.403684	0.431473	0.490046	0.402681	0.502248	0.522028	0.464104	0.40963	0.419731	0.41552	0.485275	0.416727	0.468169
DUHS_K562	0.945729	0.970167	0.952902	0.852021	0.856301	0.821161	0.898504	0.929907	0.846866	0.911217	0.972814	0.970833	0.993782	0.969971	0.979018	1	0.971432	0.963797	0.953505	0.969485	0.856329	0.912665	0.372853	0.514473	0.970935	0.557706	0.649126	0.557576	0.688492	0.550363	0.617747	0.620617	0.604189	0.57665	0.538409	0.157595	0.595358	0.500683	0.619239	0.558286	0.554481	0.516317	0.678512	0.463654	0.536321	0.504205	0.516114	0.551082	0.501145	0.52917	0.573659	0.500984	0.600943	0.609624	0.569262	0.518246	0.516793	0.513077	0.571656	0.519549	0.567666
DUHS_LNCaP	0.95564	0.970386	0.977049	0.821082	0.796928	0.872343	0.909688	0.937711	0.886781	0.929298	0.939132	0.928782	0.972216	0.944994	0.940513	0.971432	1	0.971768	0.95286	0.933294	0.909727	0.887143	0.452944	0.601076	0.921443	0.622104	0.693603	0.640194	0.740482	0.617982	0.673799	0.671047	0.677012	0.625945	0.600364	0.24675	0.665371	0.581265	0.673136	0.633236	0.639301	0.613975	0.733345	0.555409	0.608311	0.580704	0.590668	0.623634	0.57393	0.605041	0.653351	0.571942	0.659406	0.684454	0.624778	0.589956	0.58948	0.586156	0.656815	0.59389	0.631374
DUHS_Mcf7Ctcfshrna	0.986558	0.964318	0.959255	0.855469	0.808579	0.895134	0.933895	0.957224	0.923828	0.940632	0.938231	0.922969	0.96815	0.951061	0.923604	0.963797	0.971768	1	0.974058	0.935118	0.922045	0.858354	0.48694	0.627962	0.911221	0.646418	0.716169	0.6563	0.752529	0.649059	0.695802	0.695439	0.70004	0.662125	0.639545	0.256469	0.682076	0.610548	0.699816	0.660484	0.657198	0.641225	0.753568	0.586243	0.636307	0.610436	0.622303	0.651434	0.606376	0.634445	0.674936	0.606598	0.688687	0.710121	0.661714	0.630909	0.617312	0.614378	0.671863	0.627785	0.662768
DUHS_Mcf7Hypoxlac	0.963939	0.952586	0.924856	0.913519	0.846647	0.882018	0.958136	0.963405	0.905731	0.901363	0.935067	0.920911	0.946932	0.958048	0.922541	0.953505	0.95286	0.974058	1	0.929313	0.895437	0.883394	0.431169	0.570104	0.917931	0.545468	0.627172	0.550938	0.672629	0.548904	0.600848	0.604735	0.606222	0.582559	0.550384	0.154799	0.585758	0.501443	0.604697	0.559114	0.555552	0.537658	0.667625	0.47087	0.532441	0.495381	0.516585	0.544803	0.500601	0.52415	0.570052	0.502269	0.597788	0.62111	0.575658	0.533975	0.514279	0.510787	0.573049	0.5194	0.56082
DUHS_Mcf7Randshrna	0.932401	0.907531	0.911721	0.807344	0.87457	0.738293	0.839995	0.865176	0.768627	0.822121	0.937047	0.944344	0.955195	0.925628	0.970848	0.969485	0.933294	0.935118	0.929313	1	0.821605	0.892721	0.247475	0.383517	0.984199	0.448354	0.535246	0.450449	0.593887	0.438974	0.504634	0.509472	0.49774	0.465388	0.424151	0.04817	0.499218	0.400293	0.507409	0.457111	0.453068	0.433148	0.584305	0.36947	0.433621	0.406544	0.415152	0.444714	0.399173	0.427234	0.481681	0.394644	0.49376	0.506817	0.458962	0.409146	0.407077	0.402725	0.477801	0.41279	0.457432
DUHS_Mcf7	0.92851	0.879757	0.943121	0.723668	0.670343	0.905394	0.857554	0.870962	0.876251	0.874407	0.83187	0.80896	0.870724	0.837102	0.810523	0.856329	0.909727	0.922045	0.895437	0.821605	1	0.741359	0.543645	0.668791	0.788662	0.691827	0.722502	0.730647	0.769643	0.687309	0.724431	0.723237	0.748973	0.689119	0.675293	0.345158	0.745181	0.696023	0.723383	0.727657	0.744594	0.757824	0.777985	0.689837	0.707341	0.69406	0.699679	0.719245	0.67953	0.713045	0.76669	0.66996	0.733064	0.767598	0.69545	0.682402	0.671837	0.667789	0.772199	0.688579	0.699624
DUHS_Monocd14	0.823199	0.896264	0.864647	0.810376	0.781867	0.731718	0.853987	0.859048	0.736215	0.779544	0.872159	0.874425	0.891116	0.912705	0.930631	0.912665	0.887143	0.858354	0.883394	0.892721	0.741359	1	0.296202	0.413584	0.917805	0.378497	0.463554	0.390311	0.533701	0.379701	0.427834	0.424996	0.437732	0.370817	0.336198	0.060128	0.436435	0.317492	0.427563	0.37908	0.390882	0.362868	0.519695	0.288355	0.349453	0.315674	0.327717	0.350523	0.306411	0.331987	0.405165	0.306842	0.403571	0.45147	0.36222	0.315037	0.336943	0.333265	0.408445	0.321704	0.373098
DUHS_NakedK562	0.457789	0.487595	0.479117	0.401856	0.163319	0.682848	0.524113	0.536218	0.647611	0.599699	0.347233	0.297891	0.407356	0.415637	0.28857	0.372853	0.452944	0.48694	0.431169	0.247475	0.543645	0.296202	1	0.94358	0.223269	0.715773	0.689653	0.728667	0.652152	0.740434	0.712387	0.696236	0.723966	0.692888	0.725384	0.813674	0.691495	0.726111	0.70827	0.725254	0.741814	0.717727	0.671842	0.737391	0.717396	0.715407	0.72454	0.728951	0.714453	0.723898	0.708728	0.731639	0.708322	0.739626	0.703136	0.734707	0.722568	0.723959	0.711346	0.728694	0.720778
DUHS_NakedMcf7	0.597775	0.633755	0.613966	0.537352	0.280025	0.811408	0.658615	0.677711	0.785625	0.747768	0.495168	0.446055	0.549296	0.553232	0.422642	0.514473	0.601076	0.627962	0.570104	0.383517	0.668791	0.413584	0.94358	1	0.362392	0.816954	0.812516	0.831334	0.774757	0.842235	0.825023	0.811961	0.833232	0.807901	0.834754	0.761151	0.791243	0.815297	0.825817	0.825917	0.839649	0.803257	0.78909	0.817619	0.814301	0.800346	0.815056	0.829638	0.807766	0.819308	0.803464	0.822209	0.820373	0.838705	0.818051	0.840413	0.822777	0.823728	0.81226	0.830197	0.831055
DUHS_Sknsh	0.900583	0.919088	0.899904	0.827305	0.879489	0.730194	0.846668	0.868119	0.754682	0.825197	0.949641	0.960007	0.957224	0.943669	0.986752	0.970935	0.921443	0.911221	0.917931	0.984199	0.788662	0.917805	0.223269	0.362392	1	0.429253	0.53139	0.424322	0.585411	0.417756	0.490101	0.495263	0.471353	0.444918	0.397241	0.01977	0.476732	0.364655	0.494254	0.425499	0.420096	0.382976	0.570486	0.324131	0.40427	0.370893	0.380547	0.414375	0.366613	0.392709	0.446685	0.362823	0.471465	0.476229	0.434419	0.373876	0.38167	0.377011	0.444387	0.379747	0.434214
UWDGF_A549	0.63947	0.652307	0.658391	0.438196	0.320024	0.74842	0.59875	0.64014	0.758835	0.780246	0.551879	0.517162	0.605923	0.544137	0.46588	0.557706	0.622104	0.646418	0.545468	0.448354	0.691827	0.378497	0.715773	0.816954	0.429253	1	0.966342	0.977797	0.946669	0.985206	0.981812	0.976983	0.976219	0.947596	0.966762	0.697971	0.964644	0.984068	0.976768	0.975122	0.963507	0.925295	0.961443	0.958623	0.989242	0.975786	0.981718	0.981864	0.984514	0.982403	0.965469	0.985214	0.976014	0.96504	0.959054	0.968942	0.988644	0.987932	0.955468	0.97576	0.980934
UWDGF_Cd20ro01778	0.703565	0.745521	0.722278	0.546086	0.41603	0.808427	0.682538	0.730737	0.82259	0.86333	0.658172	0.627981	0.697875	0.640886	0.559621	0.649126	0.693603	0.716169	0.627172	0.535246	0.722502	0.463554	0.689653	0.812516	0.53139	0.966342	1	0.945369	0.951434	0.965068	0.988367	0.983513	0.956563	0.945233	0.953062	0.628947	0.935326	0.930102	0.996279	0.953615	0.927739	0.867692	0.962442	0.895035	0.948489	0.929747	0.933739	0.966131	0.935715	0.951275	0.926177	0.941918	0.971587	0.939884	0.954379	0.946462	0.953099	0.95311	0.921289	0.958985	0.981129
UWDGF_H7hesc	0.647427	0.651608	0.683778	0.421058	0.292055	0.764373	0.594381	0.637314	0.759712	0.779067	0.538492	0.503614	0.607222	0.542113	0.467633	0.557576	0.640194	0.6563	0.550938	0.450449	0.730647	0.390311	0.728667	0.831334	0.424322	0.977797	0.945369	1	0.942026	0.977207	0.967116	0.951436	0.983897	0.909995	0.937634	0.70229	0.975429	0.98094	0.960451	0.970664	0.975329	0.96008	0.958386	0.972196	0.97963	0.983273	0.973606	0.979709	0.970964	0.983315	0.983419	0.967417	0.953901	0.976018	0.927318	0.950625	0.97618	0.975659	0.968332	0.96921	0.96712
UWDGF_Hepg2	0.739187	0.76318	0.766904	0.573153	0.476133	0.816465	0.705081	0.739867	0.825919	0.851483	0.690493	0.664308	0.733976	0.687152	0.619666	0.688492	0.740482	0.752529	0.672629	0.593887	0.769643	0.533701	0.652152	0.774757	0.585411	0.946669	0.951434	0.942026	1	0.940399	0.953093	0.94952	0.960126	0.90541	0.90959	0.57826	0.955794	0.92008	0.948972	0.931958	0.923137	0.892786	0.98955	0.889998	0.937227	0.919361	0.92448	0.934444	0.919648	0.928897	0.940169	0.918591	0.941916	0.950802	0.913976	0.906025	0.927067	0.924459	0.924637	0.91361	0.933656
UWDGF_Huvec	0.642165	0.650814	0.650905	0.456296	0.305345	0.770167	0.617151	0.656029	0.77838	0.785782	0.545704	0.509104	0.600267	0.545995	0.458798	0.550363	0.617982	0.649059	0.548904	0.438974	0.687309	0.379701	0.740434	0.842235	0.417756	0.985206	0.965068	0.977207	0.940399	1	0.975064	0.961652	0.98476	0.931522	0.96085	0.70777	0.960122	0.974442	0.976943	0.980055	0.965774	0.933079	0.958273	0.961708	0.978878	0.976016	0.973485	0.978943	0.972849	0.978889	0.962935	0.979643	0.960515	0.973484	0.947538	0.968101	0.989199	0.990022	0.951061	0.980052	0.984402
UWDGF_K562Znfa41c6	0.68444	0.710534	0.706297	0.500802	0.379698	0.792568	0.649712	0.695957	0.802483	0.835973	0.621136	0.588392	0.666626	0.604688	0.523906	0.617747	0.673799	0.695802	0.600848	0.504634	0.724431	0.427834	0.712387	0.825023	0.490101	0.981812	0.988367	0.967116	0.953093	0.975064	1	0.991927	0.970825	0.956185	0.966271	0.663972	0.951623	0.956977	0.991841	0.968725	0.950081	0.901386	0.964144	0.928553	0.971068	0.955462	0.960067	0.984046	0.961677	0.973731	0.951166	0.96583	0.98263	0.958664	0.964187	0.963482	0.968462	0.967979	0.942427	0.972401	0.985961
UWDGF_K562Znfp5	0.681502	0.711244	0.700882	0.509076	0.410809	0.78711	0.650702	0.693589	0.796699	0.830686	0.62941	0.595403	0.665653	0.60794	0.525421	0.620617	0.671047	0.695439	0.604735	0.509472	0.723237	0.424996	0.696236	0.811961	0.495263	0.976983	0.983513	0.951436	0.94952	0.961652	0.991927	1	0.959913	0.97795	0.977803	0.649621	0.941429	0.951495	0.986006	0.958718	0.940709	0.887777	0.954626	0.916803	0.970789	0.941786	0.96188	0.976962	0.963705	0.966628	0.941155	0.965793	0.99408	0.948135	0.98209	0.968963	0.962786	0.961145	0.939245	0.964583	0.978766
UWDGF_K562	0.69096	0.694091	0.708822	0.490172	0.35902	0.804716	0.65853	0.694427	0.809023	0.813944	0.594035	0.557957	0.650561	0.59523	0.51517	0.604189	0.677012	0.70004	0.606222	0.49774	0.748973	0.437732	0.723966	0.833232	0.471353	0.976219	0.956563	0.983897	0.960126	0.98476	0.970825	0.959913	1	0.930086	0.953884	0.669651	0.97407	0.973398	0.969053	0.975534	0.968512	0.958363	0.974349	0.961509	0.97894	0.975486	0.975156	0.977515	0.968865	0.978884	0.980608	0.970656	0.963021	0.994164	0.945668	0.962489	0.976283	0.976003	0.963103	0.970264	0.973524
UWDGF_Lhcnm2Diff4d	0.64748	0.66595	0.640113	0.509357	0.415526	0.76525	0.636049	0.668648	0.779089	0.792508	0.594997	0.554312	0.614561	0.57073	0.473379	0.57665	0.625945	0.662125	0.582559	0.465388	0.689119	0.370817	0.692888	0.807901	0.444918	0.947596	0.945233	0.909995	0.90541	0.931522	0.956185	0.97795	0.930086	1	0.990256	0.636726	0.894942	0.929012	0.952651	0.928368	0.911885	0.860961	0.907692	0.893522	0.948312	0.905902	0.947536	0.949357	0.949054	0.939218	0.9019	0.953172	0.981414	0.921988	0.996196	0.975244	0.940064	0.937791	0.908535	0.942143	0.951247
UWDGF_Lhcnm2	0.630352	0.636088	0.619047	0.468681	0.346296	0.758797	0.613577	0.648345	0.774018	0.77614	0.548568	0.506019	0.581039	0.531926	0.430851	0.538409	0.600364	0.639545	0.550384	0.424151	0.675293	0.336198	0.725384	0.834754	0.397241	0.966762	0.953062	0.937634	0.90959	0.96085	0.966271	0.977803	0.953884	0.990256	1	0.681093	0.914892	0.956886	0.966392	0.955021	0.937076	0.895672	0.920956	0.929878	0.968115	0.937558	0.967699	0.970445	0.969503	0.963992	0.925885	0.974924	0.984284	0.944535	0.995727	0.994843	0.967278	0.966623	0.929109	0.971412	0.974347
UWDGF_NakedIMR90	0.237523	0.264352	0.290197	0.087597	-0.075056	0.436066	0.243807	0.2737	0.396436	0.398129	0.125284	0.085113	0.200907	0.155365	0.078873	0.157595	0.24675	0.256469	0.154799	0.04817	0.345158	0.060128	0.813674	0.761151	0.01977	0.697971	0.628947	0.70229	0.57826	0.70777	0.663972	0.649621	0.669651	0.636726	0.681093	1	0.652223	0.720116	0.656963	0.693445	0.710773	0.680402	0.596716	0.738846	0.701161	0.713631	0.711548	0.702484	0.706875	0.709299	0.676483	0.718801	0.658483	0.672236	0.653679	0.697974	0.710862	0.713276	0.677381	0.710532	0.685663
UWDGF_m3134	0.676429	0.675837	0.708827	0.457578	0.34732	0.766584	0.61859	0.655418	0.769307	0.784899	0.576773	0.546827	0.643285	0.58044	0.515187	0.595358	0.665371	0.682076	0.585758	0.499218	0.745181	0.436435	0.691495	0.791243	0.476732	0.964644	0.935326	0.975429	0.955794	0.960122	0.951623	0.941429	0.97407	0.894942	0.914892	0.652223	1	0.963677	0.946106	0.957347	0.956352	0.950032	0.967027	0.949795	0.967881	0.966371	0.960034	0.959348	0.957603	0.96427	0.978369	0.950912	0.944977	0.969928	0.911082	0.925164	0.95619	0.95422	0.955039	0.943538	0.94678
UWHS_A549	0.611931	0.591933	0.627833	0.366735	0.257413	0.723268	0.548335	0.587027	0.725072	0.727073	0.487405	0.449313	0.549892	0.479979	0.405004	0.500683	0.581265	0.610548	0.501443	0.400293	0.696023	0.317492	0.726111	0.815297	0.364655	0.984068	0.930102	0.98094	0.92008	0.974442	0.956977	0.951495	0.973398	0.929012	0.956886	0.720116	0.963677	1	0.952876	0.977707	0.974353	0.964268	0.94281	0.988366	0.993887	0.990879	0.993182	0.984529	0.992884	0.992685	0.981913	0.989313	0.964616	0.969373	0.947266	0.971784	0.984917	0.984042	0.970101	0.978994	0.968695
UWHS_Cd20ro01778	0.691758	0.7166	0.705835	0.510743	0.380057	0.800546	0.660459	0.707694	0.812986	0.842509	0.624735	0.591852	0.669269	0.60708	0.52497	0.619239	0.673136	0.699816	0.604697	0.507409	0.723383	0.427563	0.70827	0.825817	0.494254	0.976768	0.996279	0.960451	0.948972	0.976943	0.991841	0.986006	0.969053	0.952651	0.966392	0.656963	0.946106	0.952876	1	0.970669	0.947473	0.897422	0.964814	0.924364	0.965737	0.951469	0.954468	0.982258	0.955536	0.971056	0.945065	0.960919	0.980374	0.955046	0.964844	0.96575	0.968446	0.968659	0.94006	0.977529	0.991832
