CELL	FACTOR	SUPERCLASS	CLASS	FAMILY	SUBFAMILY	GENUS	PWM_IC	CHIP_PWM	AUC_PWM	AUC_BOYLE	AUC_NEPH	AUC_CUE2	AUC_CUE3	AUC_CENT	AUC_DH2	AUC_DH3	AUC_H2	AUC_H3
K562	ZNF263	2	3	3	0	79	16.0689746459	36.19	0.704817153338	0.733854395348	0.74901578439	0.715667081444	0.71574983486	0.714177752878	0.816019151405	0.823227072707	0.762219228522	0.770771280651
K562	NFYB	4	2	1	0	2	14.4782677279	77.19	0.797608574705	0.852609376129	0.875528441451	0.875145652581	0.875167009696	0.704027337041	0.916382369485	0.920139156671	0.835234708796	0.837253872965
H1hesc	RXRA	2	1	3	1	1	12.8105403124	21.13	0.517521313548	0.642277555081	0.647000245982	0.759451598412	0.760475449289	0.883404406999	0.776876913158	0.801369843952	0.643431709442	0.685742745305
H1hesc	CEBPB	1	1	8	1	2	13.704508391	62.49	0.635231299018	0.649725362039	0.657011106532	0.679033716054	0.678407732957	0.551409095853	0.685764714668	0.693146833659	0.663062518191	0.662723367789
H1hesc	SP1	2	3	1	1	1	13.3145938088	35.35	0.674140064431	0.856367065308	0.850560034692	0.835269988809	0.836111642557	0.896638017667	0.908826345965	0.910319972822	0.844730710153	0.834697408966
H1hesc	JUND	1	1	1	1	3	14.7253585669	39.65	0.703095949861	0.74809533348	0.746817987847	0.84261793582	0.842407221976	0.739745392597	0.812603019254	0.82272634325	0.757925311986	0.763555847236
H1hesc	JUN	1	1	1	1	1	15.1236161101	30.17	0.668420520673	0.82833688056	0.842235699168	0.854723294137	0.853767011392	0.884628833369	0.912968866942	0.924338706052	0.838414376243	0.845146563419
H1hesc	FOSL1	1	1	2	1	3	14.2660262288	79.36	0.651422336193	0.822151493909	0.815486311052	0.862067690836	0.863812167152	0.975956709532	0.923943161855	0.945220461191	0.864305686252	0.862200224769
H1hesc	GABP	3	5	2	1	4	13.2830376563	38.32	0.743307350436	0.901224293423	0.903771587425	0.905650034454	0.905486086512	0.965693690457	0.95734696643	0.956527597764	0.893667002177	0.876953293231
H1hesc	SP2	2	3	1	1	2	13.6855530939	50.67	0.696599212132	0.896109306084	0.914682344895	0.845956181786	0.846287643298	0.490760720245	0.934234849341	0.931120111947	0.872063740165	0.848889483999
H1hesc	SP4	2	3	1	1	4	14.0342195313	31.54	0.64848878756	0.863902908471	0.883957828193	0.8026375181	0.802800162137	0.45898058532	0.902217713551	0.899090415007	0.844682156101	0.827832694683
K562	E2F6	3	3	2	1	6	13.3139919044	26.16	0.649808325449	0.736037932534	0.773675200379	0.835117869441	0.835163120172	0.966914534477	0.904461567882	0.914836426034	0.821375604104	0.827327518603
K562	BHLHE40	1	2	4	1	12	12.8618715038	26.51	0.64557434016	0.692395010998	0.7317226194	0.796360886844	0.796697156901	0.820273421432	0.823652243455	0.841298405577	0.711723906074	0.738368586052
K562	CEBPB	1	1	8	1	2	13.704508391	64.05	0.703369221968	0.708649041182	0.732025150399	0.731460818486	0.731416829717	0.581906125966	0.770587943724	0.778110423652	0.720707832603	0.734162524663
K562	ATF1	1	1	7	1	2	14.6839442928	17.6	0.715285601817	0.760955077913	0.846019418523	0.785460274836	0.786373990492	0.93442315603	0.894911777729	0.908850930772	0.790926417714	0.814199697165
K562	GATA2	2	2	1	1	2	13.4129932259	40.2	0.56575532419	0.644668830949	0.874680112734	0.769269631917	0.770128376087	0.97764002256	0.894110796608	0.923379767271	0.729384455372	0.775629495364
K562	EGATA	2	2	1	1	2	13.4129932259	33.66	0.570144355051	0.621908608327	0.835362698695	0.725867615149	0.726090600587	0.958054940145	0.849421787149	0.885026805525	0.70468309283	0.7529296309
K562	SP1	2	3	1	1	1	13.3145938088	45.49	0.702368497604	0.845846291588	0.934620214382	0.855354557377	0.854176543424	0.973293671144	0.922539523502	0.926265533478	0.889331516026	0.886055339476
K562	EJUND	1	1	1	1	3	14.7253585669	41.4	0.677792394698	0.714784464833	0.815543967398	0.814999068885	0.815276511323	0.952429940088	0.885301581633	0.902171639665	0.738983289717	0.770246063261
K562	JUND	1	1	1	1	3	14.7253585669	38.47	0.668382220813	0.699915369496	0.78537400817	0.802532470339	0.802639925989	0.947631535596	0.868930164813	0.8862477925	0.736413088487	0.767225488169
K562	GATA1	2	2	1	1	1	13.5929254066	47.32	0.623493903262	0.739711888898	0.941245102714	0.847013933077	0.84871627359	0.987562982181	0.938643751903	0.960510004597	0.797723269643	0.833170140514
K562	FOS	1	1	2	1	1	13.6337430659	44.79	0.639535005891	0.706174970716	0.865045771648	0.849967289534	0.850002966858	0.98193287989	0.923472036405	0.940896535058	0.772369640961	0.803563827619
K562	ETS1	3	5	2	1	1	13.5943340396	16.24	0.592083512729	0.777556889498	0.874659769148	0.868580548825	0.867194121582	0.991213038423	0.950664400663	0.959352162187	0.867438398107	0.873867075302
K562	EFOS	1	1	2	1	1	13.6337430659	85.93	0.650662629405	0.694086121196	0.800947739554	0.834146057527	0.834319227586	0.960877260895	0.881863844012	0.898777085116	0.733896643525	0.76549369625
K562	EJUNB	1	1	1	1	2	13.9050570379	63.47	0.686758562061	0.719098553119	0.824621199208	0.829147806969	0.828856618037	0.955496643228	0.887172681771	0.902535381927	0.748940227412	0.77686607833
K562	JUN	1	1	1	1	1	15.1236161101	21.86	0.639698351009	0.751251706281	0.865867800207	0.800717677405	0.800220449979	0.960417072099	0.922660453715	0.935149100716	0.787910531823	0.81366990303
K562	FOSL1	1	1	2	1	3	14.2660262288	79.36	0.676209158065	0.721193151469	0.824875961787	0.832096430938	0.831754458658	0.969107632673	0.90676342418	0.92289687786	0.762658361783	0.793330666217
K562	GABP	3	5	2	1	4	13.2830376563	37.61	0.691677465006	0.801803463775	0.8568916442	0.875752860626	0.875016779376	0.960099572471	0.929088890943	0.934951432179	0.855864410193	0.857152450368
K562	SP2	2	3	1	1	2	13.6855530939	55.95	0.713099400326	0.862246247012	0.935311720951	0.859011304427	0.858075863163	0.973481621839	0.924508265825	0.925949981505	0.88383095645	0.880535118205
K562	CCNT2	1	2	3	1	1	14.282070917	11.46	0.74135340872	0.779989654052	0.938315353336	0.835457563524	0.835009748525	0.983074466328	0.94405378542	0.959652912425	0.845924316682	0.866282255979
K562	E2F4	3	3	2	1	4	13.1430720529	34.48	0.570974394154	0.755168185557	0.829338176299	0.795140812269	0.793805588243	0.527612916056	0.886903784118	0.891217672033	0.823744279515	0.814046432968
K562	TAL1	1	2	3	1	1	14.282070917	43.25	0.731317645187	0.745687028686	0.857345155375	0.783236118429	0.78296148287	0.938245125363	0.89333375502	0.909418711701	0.784061733954	0.810938376285
K562	MEF2A	5	1	1	1	1	14.9249392903	47.38	0.736526736564	0.753094520438	0.853336798161	0.815945773841	0.815330699055	0.941945687814	0.887245916555	0.904858893118	0.794568419832	0.818925101922
K562	ZBTB33	2	3	2	1	12	14.2678787712	44.29	0.720271905763	0.788685873361	0.840079841535	0.818062026564	0.817208859837	0.758743995098	0.844105871432	0.849536459193	0.81959847144	0.824278304588
H1hesc	USF1	1	2	6	2	1	13.3933612682	70.27	0.786472768435	0.810191171709	0.812998215173	0.85034367328	0.849902046607	0.496400992154	0.833505427588	0.837129571887	0.783962546176	0.763706908229
H1hesc	ATF3	1	1	2	2	1	13.3933612682	37.03	0.823504818594	0.907069704676	0.915633206749	0.92642685212	0.926606457748	0.913102054251	0.950151903906	0.955758341128	0.875952447465	0.873606247845
H1hesc	MAFK	1	1	3	2	3	13.8679761374	68.71	0.765486323372	0.772974533018	0.774780293199	0.799031769695	0.798578130356	0.373393846754	0.789096727226	0.791161100917	0.761443284258	0.748959388532
H1hesc	USF2	1	2	6	2	2	13.5534307204	64.59	0.76903313064	0.857039371509	0.8648906411	0.900430899041	0.900302423431	0.764806310528	0.908477771092	0.91564100028	0.827883936644	0.820608443192
H1hesc	BACH1	1	1	1	2	5	15.4335122743	25.7	0.646285282028	0.673616965825	0.678537190547	0.698579203896	0.698034913074	0.613761349355	0.718658642059	0.726665703555	0.679143526369	0.682358606758
K562	ELK1	3	5	2	2	1	7.98072605807	44.48	0.618790604857	0.805830000668	0.92459126453	0.885320893259	0.884779368391	0.974577906739	0.943213916432	0.946035703802	0.879225483668	0.873250493225
K562	USF1	1	2	6	2	1	13.3933612682	64.62	0.793204597703	0.813252036594	0.836110063057	0.871988633227	0.872112099392	0.859472762806	0.89391455084	0.903960524745	0.770751034232	0.791017805522
K562	ATF3	1	1	2	2	1	8.00206745678	13.38	0.935450442276	0.971277907361	0.98140592583	0.964190723725	0.963690218523	0.99553071038	0.984023266888	0.983952250487	0.959712710754	0.963774774674
K562	MAFF	1	1	3	2	1	13.862768683	69.51	0.780620967314	0.786861431794	0.815412488648	0.824392584062	0.824268842997	0.526039147739	0.830140584053	0.834585016022	0.759749539631	0.765138290797
K562	MAFK	1	1	3	2	3	13.8679761374	64.33	0.755792622803	0.765568871463	0.801750001939	0.79942425382	0.799434244577	0.565142084185	0.820795903074	0.82632263241	0.746596644002	0.755104759709
K562	USF2	1	2	6	2	2	13.5534307204	73.79	0.785891345417	0.864119719669	0.903022466399	0.914137551052	0.91374205618	0.974548055496	0.95003574342	0.960083157151	0.835046692112	0.850309248942
K562	NFE2	1	1	1	2	1	17.5644611541	82.56	0.895410384265	0.914776786712	0.965697163936	0.930702175875	0.930754777426	0.966650428693	0.973233170758	0.978624165871	0.880614085637	0.890111059017
K562	BACH1	1	1	1	2	5	15.4335122743	52.05	0.653738402297	0.696851448761	0.813449112035	0.735879100156	0.736088451652	0.896424144732	0.842609194017	0.858775875907	0.719307494267	0.746299244244
H1hesc	ZNF143	2	3	3	28	2	13.4701597584	12.46	0.701642435161	0.840451671956	0.847609934774	0.805541074186	0.805235474275	0.790448174304	0.916204349642	0.922286140146	0.783739119837	0.807329690319
K562	ZNF143	2	3	3	28	2	13.4701597584	12.55	0.706490921614	0.800180242911	0.843238875513	0.799858721031	0.799915252787	0.917115487741	0.931316014864	0.937976585067	0.786726469655	0.813992674426
H1hesc	SIX5	3	1	6	3	2	13.4701597584	49.09	0.801933118816	0.907561118723	0.913133319292	0.866888241909	0.86587679509	0.742951963668	0.950675156639	0.953267027841	0.87571192045	0.869600254321
H1hesc	EGR1	2	3	1	3	1	13.8829070912	59.93	0.719318737545	0.850032299971	0.851182950395	0.81859644891	0.818940770195	0.870014297909	0.895302135019	0.895789367671	0.845394793785	0.826045670976
K562	SIX5	3	1	6	3	2	13.4701597584	37.08	0.799148395012	0.883295217906	0.931528200013	0.87105316219	0.871646378915	0.939013836644	0.96343686414	0.965865951793	0.88028156462	0.883495881842
K562	EGR1	2	3	1	3	1	13.8829070912	68.08	0.693521035121	0.753952367124	0.772831579351	0.773190712986	0.772996477523	0.870199260918	0.861792230689	0.868417240489	0.782977428186	0.791947120819
K562	ELF1	3	5	2	3	1	13.7668693835	51.62	0.682125638076	0.75593414742	0.824556485582	0.828535905845	0.82791400177	0.898025345945	0.90805197198	0.921054480831	0.800285628077	0.819908462598
K562	TR4	2	1	3	4	2	16.103509026	28.96	0.843862895616	0.905913435985	0.93711328243	0.910726198622	0.910627385706	0.931566127719	0.949471659452	0.95266676447	0.915558486237	0.915150744865
H1hesc	POU5F1	3	1	10	5	1	14.781121085	69.15	0.807264239311	0.821355856838	0.824255243142	0.846041716931	0.845724815565	0.789151266679	0.870196484698	0.878205218217	0.867340834234	0.868331137601
H1hesc	MYC	1	2	6	5	1	13.0182342454	25.55	0.545925023503	0.717287031426	0.746486339525	0.845701777729	0.846799346692	0.923810790502	0.881509672455	0.888345578528	0.737240675334	0.757809021438
H1hesc	MAX	1	2	6	5	5	13.0165727894	28.14	0.515865292511	0.606687934485	0.624373588087	0.769167219293	0.768243812697	0.808513333717	0.732569610971	0.756569694161	0.630106147705	0.667032563179
K562	PU1	3	5	2	5	1	14.1370234023	85.99	0.785331792851	0.806182094486	0.8470031428	0.841539155317	0.841597858143	0.667248825969	0.875227873268	0.882301942907	0.798559444134	0.809982096711
K562	NR2F2	2	1	3	5	2	13.0568628058	17.85	0.58557337552	0.620961008487	0.758868371804	0.68765681167	0.687703709234	0.938285798606	0.840677285899	0.86263237495	0.688001786506	0.732509511644
K562	MYC	1	2	6	5	1	13.0182342454	26.16	0.534566000675	0.653630682844	0.773099662783	0.821731967759	0.821246052733	0.993902935347	0.913113236416	0.928973064723	0.759828453122	0.788055624672
K562	MAX	1	2	6	5	5	13.0165727894	15.18	0.473245268447	0.538748331218	0.625219547084	0.744739487289	0.745475730461	0.959913482541	0.818294454706	0.84655565472	0.631111677532	0.685976476616
H1hesc	RAD21	2	3	3	50	1	17.1506686196	76.64	0.828130984968	0.851531414963	0.850356867303	0.878725787929	0.878424298966	0.901308501788	0.877560980696	0.876033476009	0.785226905294	0.762357748558
H1hesc	CTCF	2	3	3	50	1	17.1506686196	77.68	0.82872253679	0.861615891515	0.861200182502	0.886598704396	0.886383319799	0.918367194275	0.893834809044	0.893416364159	0.795379578531	0.779156907301
K562	RAD21	2	3	3	50	1	17.1506686196	92.01	0.877518980414	0.904249539536	0.926716206735	0.91921505617	0.919115284977	0.973890133156	0.956298831499	0.960754098524	0.797921146701	0.820912149723
K562	CTCFL	2	3	3	50	2	17.1506686196	77.01	0.815073075055	0.877687331579	0.87602004284	0.886149255152	0.88595862472	0.965607795553	0.940626049668	0.94518935794	0.824648603456	0.841554122048
K562	SMC3	2	3	3	50	1	17.1506686196	87.97	0.870250484185	0.90515934277	0.919054628666	0.918666953363	0.918536140093	0.980523267247	0.963570772187	0.968379173148	0.803736215921	0.827384365198
K562	CTCF	2	3	3	50	1	17.1506686196	75.62	0.829693489191	0.854652077536	0.86291940345	0.87737649442	0.877213610306	0.948447765697	0.916357432725	0.920299368971	0.773449923183	0.787951246989
H1hesc	YY1	2	3	3	9	1	14.3559564859	35.61	0.81545242867	0.85824615999	0.868766464443	0.88112064907	0.880621309605	0.698092385648	0.908375948281	0.912795774261	0.852712469093	0.84273223728
K562	YY1	2	3	3	9	1	14.3559564859	61.34	0.864898753134	0.894822272622	0.922609367696	0.932024969747	0.932327917408	0.925319597259	0.973073502894	0.975852841226	0.918159808583	0.923604977189
