FACTOR	PEARSON	DNASE	D13	DNASES	D13S	TC	FOS	PWM	BOYLE	NEPH	CUELLAR	PIQUE	HMM	HMM_BC
ELF1	0.308332311856	0.732174665886	0.635902173399	0.660421399881	0.631952784333	0.798724601594	0.0614178446395	0.217162271472	0.380266447837	0.540463110502	0.311155766919	0.72839476932	0.658921515442	0.630459958673
ELK1	0.455771808422	0.604241616462	0.426595288119	0.69589200962	0.561702059932	0.871913560527	0.0766960629341	0.0726010449629	0.510068550555	0.729722709908	0.168352426975	0.755498340297	0.569733436453	0.698079349461
ETS1	0.585564343716	0.836287645169	0.601239871514	0.907159969631	0.804796478263	0.966312247066	0.0376112770354	0.12047776321	0.515362112286	0.708278935138	0.159323606065	0.917134748784	0.74126028933	0.803049313278
FOS	0.738568110616	0.77836177566	0.649405472745	0.788056407295	0.67684104239	0.891597597578	0.09258115969	0.10159702793	0.262953789067	0.645205096884	0.172962645561	0.832068290295	0.690820238899	0.621445103722
FOSL1	0.752207652015	0.714354790216	0.636980893984	0.698069104194	0.637378494926	0.836402593602	0.0936257983756	0.130203004496	0.247507156812	0.507547480515	0.156699855863	0.799912357964	0.644053446967	0.557665860123
GABP	0.463500537406	0.714016172284	0.552628277685	0.719203053422	0.581925184817	0.832133613498	0.0748090783298	0.248813927789	0.508040622313	0.625059367255	0.314406114892	0.773575999571	0.648333738399	0.726265063851
GATA1	0.838360704582	0.883085310439	0.704821358868	0.915680720816	0.821356409541	0.965369821795	0.321160662188	0.108045907871	0.379971629318	0.832326259651	0.254344456481	0.913904621152	0.770030298855	0.734713567624
GATA2	0.803147879827	0.794495641836	0.666968764405	0.801746404429	0.750133625227	0.911758194132	0.175705637973	0.0745508598858	0.237816524444	0.711622037039	0.346840973444	0.876015316302	0.6832701716	0.604496782776
IRF1	0.876927356588	0.595614846015	0.608305070127	0.320170497811	0.454776032768	0.635767329535	0.119712170549	0.404981428301	0.425288845949	0.510629520273	0.415769524014	0.584265706512	0.597074961666	0.52297720737
JUN	0.703750149029	0.783808824404	0.71384493927	0.759986323883	0.723038567683	0.906951893465	0.282297722465	0.127591671389	0.376314919055	0.654881665728	0.264970052532	0.854145054977	0.735439540987	0.654560335392
JUND	0.744622647779	0.600570056907	0.604483717959	0.549631371535	0.545350218008	0.75175160105	0.0963655369626	0.13413925556	0.211516710223	0.426876284504	0.165507367695	0.732391333106	0.583949200705	0.456970373157
MAFF	0.627273275422	0.453511682035	0.370649035681	0.18191578631	0.235405444169	0.315437608144	0.0913345856928	0.366933301979	0.379509548696	0.443666033149	0.451502101278	0.258483829988	0.430520600949	0.428363467865
MAFK	0.60778176268	0.455022075349	0.394259016061	0.226365579535	0.275733352055	0.37104244601	0.117940507633	0.323166204688	0.343754013294	0.425956328029	0.412675968953	0.312024158076	0.431253485783	0.411659015382
MAX	0.453076042616	0.705307189497	0.636404511046	0.708117422124	0.725736712625	0.890494997711	0.0972550711052	0.0581513213356	0.168638370139	0.321932997554	0.0724438920698	0.814754986316	0.604147139188	0.483263805267
MEF2A	0.8172268776	0.712256371392	0.748119266961	0.517897990978	0.645465512214	0.867350782477	0.152801134206	0.357364652927	0.390103788004	0.62970384032	0.548283778541	0.800774140538	0.694326050046	0.555334980296
MYC	0.266216160796	0.864232678267	0.659635573509	0.911380021209	0.827441593712	0.96796056669	0.0698167488715	0.0804744100542	0.309451496132	0.547194466877	0.0947308728538	0.949335606217	0.710935859922	0.723766730041
NFE2	0.563238971326	0.888320472777	0.847643015551	0.719315134556	0.642202518799	0.865348257343	0.270349160678	0.63611224389	0.701913209296	0.868651529849	0.676455445403	0.824949436302	0.823724279798	0.812852344289
NFYA	0.444279436016	0.771242896026	0.630427243218	0.736820300068	0.671714998055	0.79825832316	0.206607292451	0.204374898721	0.507711960498	0.651652253449	0.206723372399	0.736423097619	0.692290852239	0.7693981199
NFYB	0.394090388116	0.679146873038	0.514778433623	0.475428950828	0.430172344128	0.561392455054	0.101274138115	0.372782810277	0.508582483142	0.552767313412	0.380544679388	0.517963854422	0.599975968283	0.676599869435
NR2F2	0.592578623399	0.627948230408	0.600172961207	0.600391750171	0.592933995674	0.787016316486	0.0626110913869	0.0749745276137	0.150228528672	0.444504936539	0.191348786307	0.743314789209	0.576719535166	0.452508116262
NRF1	0.358511370805	0.640501101286	0.603019785828	0.278835780307	0.242311384992	0.687318175834	0.515641056766	0.435844799319	0.643233754819	0.767948679243	0.442672479975	0.622489760722	0.61692258603	0.656792046044
PU1	0.560204967292	0.550391495026	0.503724430403	0.332321192659	0.396815813927	0.497550311434	0.0655608362136	0.361589759126	0.408025994386	0.506663570906	0.391470963608	0.411219583352	0.5185752627	0.502397349966
RAD21	0.146943208712	0.763510884605	0.7131805048	0.550214077751	0.303432566542	0.71800343064	0.261391140693	0.548297470906	0.605594053127	0.696893034051	0.552021695468	0.756489895074	0.702789637194	0.758792623968
REST	0.610249636067	0.591662662136	0.37614424609	0.334846393198	0.258956491085	0.433592633678	0.176369973514	0.62302801007	0.653392070461	0.674351287418	0.624621071564	0.327960430231	0.517760734363	0.651332672375
RFX5	0.581783088396	0.674957522264	0.574283336173	0.598074993337	0.518811218272	0.695808760906	0.0842836946965	0.308731435246	0.465951814075	0.611424373724	0.33309377305	0.639010847682	0.623631038293	0.638710474128
SIX5	0.631474018338	0.875361883579	0.751438210756	0.812060525657	0.697322439536	0.89780660569	0.0855277885006	0.411617076619	0.647950814977	0.787019649259	0.44174643004	0.833393959944	0.816417601246	0.870674138308
SMC3	0.162677321668	0.812478162383	0.750197095631	0.624047324566	0.372666728748	0.788882049644	0.25093532876	0.547877176264	0.641073172563	0.69319564237	0.552393137097	0.815934525678	0.747725274693	0.802423261742
SP1	0.431213014583	0.625664097705	0.50023186823	0.735384887173	0.616688414963	0.900469305814	0.10726571369	0.24192368619	0.586211031611	0.790786591774	0.255871093126	0.776402321437	0.54892449067	0.695078360888
SP2	0.632100985877	0.575872954271	0.487585778281	0.700898470947	0.577284163215	0.900821048426	0.0927292890771	0.271899965688	0.609217546756	0.786706610719	0.282727365004	0.748730879367	0.52506133038	0.658994776985
SRF	0.736995303838	0.650485620737	0.637029890252	0.489499387124	0.543561702005	0.718714573748	0.0642364778377	0.309186953324	0.369736172617	0.563860950836	0.408784323191	0.656674815386	0.619315689527	0.55486981404
STAT1	0.530256307461	0.788383738919	0.693379432163	0.780655569563	0.726417300515	0.874539785483	0.201554632683	0.146846871425	0.309741143024	0.732821692957	0.158287055936	0.828181188888	0.668462031779	0.602719336406
STAT2	0.852117048436	0.76079163653	0.742801271232	0.536305719036	0.604619870545	0.783281947851	0.181617023764	0.476823989539	0.521767374472	0.666457126832	0.612798921634	0.728542432989	0.714259153187	0.663716343747
STAT5A	0.63908099102	0.699906236316	0.685404846178	0.661130587607	0.610115624279	0.822556805154	0.224812172676	0.104010234139	0.16866916476	0.645899895367	0.228293705076	0.782462802821	0.579018767943	0.495453342948
TAL1	0.655570440873	0.652085920389	0.70481111247	0.579052611181	0.612755860162	0.807724548558	0.131579849544	0.243057576547	0.28721398012	0.596380869603	0.378556771408	0.758710158377	0.653057049943	0.520005687559
TBP	0.65856247502	0.875415721483	0.798844606411	0.872575900543	0.856873956151	0.95460727169	0.203539422602	0.179193673376	0.410736041238	0.656752291823	0.649777092236	0.930032809705	0.820633850367	0.756497486567
THAP1	0.676301285122	0.746723579274	0.513314146882	0.825148789053	0.729915168569	0.916581505976	0.0145434162108	0.0680162109137	0.373119315827	0.564068390804	0.197677182158	0.869134428422	0.621732239965	0.734994653928
TR4	0.679182222483	0.836377820727	0.741582634471	0.764292353157	0.659389263425	0.826836718871	0.111374437596	0.541676012377	0.691415534006	0.792019821416	0.550706173294	0.764059080555	0.745494104239	0.83861580823
USF1	0.587444349136	0.606159245195	0.598195335357	0.488687535172	0.488136523732	0.70741829618	0.167056385248	0.269357417009	0.340703041897	0.410053000897	0.401271095677	0.631511494504	0.572615427961	0.510733308608
USF2	0.526198048389	0.870392455991	0.778860416741	0.840486590886	0.731139923568	0.928295517474	0.280143829974	0.293562808976	0.538737287755	0.665072712573	0.389041524026	0.89810383753	0.77312260939	0.776629313418
YY1	0.720753312623	0.915878696619	0.862314369468	0.833320083907	0.794690814523	0.920581261427	0.152258263984	0.541752515775	0.633437229921	0.745856426023	0.680366252686	0.858254324457	0.877933482112	0.857341167338
ZBTB33	0.46996949156	0.473268488644	0.473420749303	0.344667958185	0.303677374134	0.48412789655	0.170100016445	0.238177961428	0.393130042414	0.528485245886	0.266061004873	0.379919357818	0.452122771005	0.479976703602
ZBTB7A	0.905862810526	0.742996342211	0.48690169801	0.790556623741	0.715576883105	0.872203200136	0.0197110145797	0.0254316093442	0.184381233581	0.299815814652	0.0376110299233	0.802437067229	0.578606784596	0.646632238678
ZNF143	0.661591903238	0.815310388135	0.666974121578	0.755483174091	0.640685378514	0.852188157294	0.0602052693745	0.298261686108	0.520388818129	0.630946835256	0.323942377392	0.79633198965	0.74453290187	0.778933976728
ZNF263	0.828219569625	0.523921011675	0.456557871263	0.445611269206	0.420524598289	0.494047558947	0.0886855974831	0.258814144583	0.319642481415	0.351336892332	0.258815062886	0.421924620268	0.433443713312	0.453150049529
