FACTOR	PEARSON	DNASE	D13	DNASES	D13S	TC	FOS	PWM	HMM	HMM_BC
ELF1	0.451732956639	0.540728842166	0.626376882561	0.468994133043	0.61323361169	0.762588453055	0.110223226786	0.217162271472	0.407700386056	0.458074232378
ELK1	0.833080579881	0.576237636025	0.447623179064	0.623807293919	0.596649366065	0.858577903747	0.0927858180599	0.0726010449629	0.350111819047	0.561981239916
ETS1	0.741140242114	0.567758837286	0.597313308255	0.596837638533	0.795946533144	0.93578970874	0.0645079782375	0.12047776321	0.349680128326	0.509613524569
FOS	0.813434548067	0.672853318077	0.603401265663	0.780933008198	0.704213169138	0.899260305767	0.297052369996	0.10159702793	0.462523821478	0.575944500371
FOSL1	0.820990727605	0.618395725596	0.611628240839	0.679127745993	0.64789664159	0.832136478815	0.252811112895	0.130203004496	0.454900694636	0.509193330448
GABP	0.501515509043	0.546488687263	0.558551454787	0.519355261483	0.571839062879	0.780241017573	0.171601216441	0.248813927789	0.401722577002	0.517677689992
GATA1	0.286378806925	0.681734098075	0.658633155285	0.762517180471	0.834906992781	0.951948615663	0.371023519459	0.108045907871	0.43162981012	0.613879379733
GATA2	0.35367135835	0.633844889732	0.622414463155	0.701749694099	0.762430040029	0.895081929942	0.38990116467	0.0745508598858	0.416630566415	0.532357706486
IRF1	0.883513758008	0.552309949563	0.627647991707	0.267074843441	0.463830284329	0.617317401722	0.189711237291	0.404981428301	0.483311633553	0.485962033097
JUN	0.63973679394	0.714097247844	0.738684295998	0.71539151816	0.747332549739	0.931202574627	0.511342839619	0.127591671389	0.532852513251	0.565695809857
JUND	0.800851539626	0.652552222059	0.647606095729	0.671852282414	0.59877220465	0.80481819487	0.281713287291	0.13413925556	0.486760510193	0.491214027351
MAFF	0.646558292605	0.484729946444	0.392371416724	0.238578551913	0.260945605447	0.354569315722	0.179203825809	0.366933301979	0.446440686346	0.44800795962
MAFK	0.64867611131	0.483671784672	0.417817551525	0.285068841799	0.302098652001	0.405381921154	0.205896485763	0.323166204688	0.428743166191	0.431271220525
MAX	0.833882421138	0.481802405718	0.63639340382	0.482571814074	0.706893509979	0.872401742762	0.238317913405	0.0581513213356	0.298520910279	0.320731608582
MEF2A	0.628077664026	0.705323956338	0.795941654256	0.536823953097	0.697016056995	0.903890923818	0.202500271103	0.357364652927	0.576930757741	0.5814359122
MYC	0.719320585523	0.504805739355	0.66761524982	0.509847736206	0.819615635488	0.957127463035	0.241751626103	0.0804744100542	0.283639085713	0.412288967156
NFE2	0.51639240146	0.860282672782	0.863613633022	0.777082305419	0.669314940819	0.872348975882	0.520207512414	0.63611224389	0.743656061353	0.800694743473
NFYA	0.795351534932	0.664343997894	0.60294405472	0.581815589835	0.590840086769	0.715343923427	0.146547438008	0.204374898721	0.4301606252	0.617326303272
NFYB	0.899424008206	0.586722970301	0.464375112365	0.337804498357	0.348238865547	0.444633376061	0.104529228663	0.372782810277	0.47722349135	0.560399893593
NR2F2	0.876712176056	0.550596078797	0.617552825735	0.54850670462	0.624126334308	0.829522288286	0.155702612188	0.0749745276137	0.373808473612	0.396829456641
NRF1	0.0716841382231	0.610310624714	0.622127765238	0.561630204006	0.372091396783	0.751593156559	0.511289270051	0.435844799319	0.539301623827	0.618417349419
PU1	0.484821091641	0.551969058575	0.558607290683	0.347930168388	0.437352263804	0.590839477468	0.111375972242	0.361589759126	0.47856888423	0.485734968032
RAD21	0.30392781412	0.829480424366	0.758664317353	0.787334203503	0.249065690499	0.731035790537	0.709984137179	0.548297470906	0.726816677029	0.788821409738
REST	0.892604545219	0.64332809503	0.353376121645	0.261268419427	0.216395117546	0.379942707425	0.250594155022	0.62302801007	0.630568476239	0.660798398476
RFX5	0.933758465459	0.554474880878	0.576921352397	0.438889120621	0.510014484041	0.679227527784	0.162606714244	0.308731435246	0.439591035223	0.514724266286
SIX5	0.860544878223	0.758756380629	0.753860625732	0.649768468145	0.662688859049	0.866550896227	0.225070470313	0.411617076619	0.626201496799	0.72402891428
SMC3	0.312512578928	0.817651265447	0.756256886829	0.755154131607	0.281901424419	0.737626745023	0.690780198736	0.547877176264	0.717374056312	0.769605518381
SP1	0.616626577493	0.646588563368	0.542370993083	0.643125014966	0.656866690043	0.900090545324	0.525211841155	0.24192368619	0.485647670111	0.634399346588
SP2	0.527299172913	0.656480343008	0.523205686724	0.654271862579	0.624428846763	0.876425696996	0.414389032925	0.271899965688	0.488197780321	0.650854269798
SRF	0.798682109583	0.602118852779	0.675603227978	0.463194931078	0.578419198736	0.747804402663	0.113311157578	0.309186953324	0.49254846327	0.514667806565
STAT1	0.889378060106	0.632397329416	0.700116530081	0.630706720317	0.777448839285	0.894784822114	0.14085477969	0.146846871425	0.413894210572	0.50730736962
STAT2	0.815539167001	0.660632075207	0.77138856635	0.406355471656	0.628778056324	0.782988011287	0.216828669222	0.476823989539	0.56618781817	0.592201878132
STAT5A	0.841167560904	0.689073047639	0.722205090071	0.690978618346	0.679463883306	0.882956374748	0.221313670474	0.104010234139	0.454983118861	0.497704708044
TAL1	0.434047400353	0.72282668127	0.741906462197	0.715492532458	0.676328685824	0.866987805305	0.121560156516	0.243057576547	0.563282818494	0.596905555802
TBP	0.816193784734	0.553090754533	0.79109015385	0.488760892606	0.82389537895	0.939372060536	0.267240906442	0.179193673376	0.398116529305	0.482862958984
THAP1	0.826501289893	0.415744572175	0.535499449039	0.418592394001	0.73859964494	0.89861965005	0.138378850036	0.0680162109137	0.230230740801	0.360689000888
TR4	0.784075808565	0.621232829817	0.727427736312	0.372527280398	0.659031414823	0.794678909008	0.227852857885	0.541676012377	0.559617566421	0.654649400756
USF1	0.4756866981	0.513829378677	0.57524130609	0.371735744891	0.44901651446	0.654882654198	0.265173447548	0.269357417009	0.413358014656	0.414696975482
USF2	0.266383904954	0.662826417228	0.749296745836	0.594567351003	0.661523473146	0.878947457852	0.414272953585	0.293562808976	0.510410818587	0.583002205234
YY1	0.921995224963	0.646230289061	0.855067663973	0.313657049261	0.763565602504	0.883890703906	0.280473893773	0.541752515775	0.598014568865	0.629106870315
ZBTB33	0.296810172196	0.511473957346	0.516885267997	0.446021515264	0.38660894766	0.573409982631	0.349371068607	0.238177961428	0.423874787087	0.466548005638
ZBTB7A	0.78507223085	0.22224740183	0.496438531009	0.228711179498	0.654520443132	0.776892693019	0.238534553568	0.0254316093442	0.144695233752	0.158723141042
ZNF143	0.880712261488	0.704016901237	0.666045771727	0.611750246839	0.583019893205	0.81746882699	0.180965744676	0.298261686108	0.572899360691	0.628748930141
ZNF263	0.907998767748	0.345047883833	0.429585440509	0.175011347952	0.374636834196	0.483747012368	0.112765711623	0.258814144583	0.309931534292	0.324991992525
