FACTOR	METHOD	OBSERVED VS PREDICTED BIAS SCORE (OBS)	METHOD AUC / TC AUC
SIX5	FLR	0.672866028588	1.06529533818127
SP1	FLR	0.538431880244	1.12985129692576
SP2	FLR	0.494158526449	1.03689603440517
SP4	FLR	0.0596791982171	1.12603226636565
SRF	FLR	0.758712001764	1.12189042496608
TCF12	FLR	0.720877904814	1.11194723167236
USF1	FLR	0.601909079269	1.15049869116859
USF2	FLR	0.577773081932	1.06603419015457
YY1	FLR	0.635495552128	1.05778723649416
ZNF143	FLR	0.689803494665	1.07795387673278
ARID3A	FLR	0.80716421887	1.02179461796433
ATF1	FLR	0.687256109933	1.056007290414
ATF3	FLR	0.612195738469	1.00715981193321
BACH1	FLR	0.461480034821	1.07428954718935
BHLHE40	FLR	0.563904607907	1.07267517254847
CCNT2	FLR	0.620201438553	1.01820073850351
CEBPB	FLR	0.837443979326	1.13358932586326
CTCF	FLR	0.226450856972	1.14638308460851
CTCFL	FLR	0.196114634764	1.10447751665382
E2F4	FLR	0.518568752189	1.03738868902518
E2F6	FLR	0.625726742361	1.04436253693141
EFOS	FLR	0.755693271069	1.05733043355577
EGATA	FLR	0.796900563532	1.03510131893812
EGR1	FLR	0.763513484225	1.11315499298777
EJUNB	FLR	0.69021680169	1.05725325354972
EJUND	FLR	0.737108537119	1.05781650737839
ELF1	FLR	0.308332265108	1.04300066999746
ELK1	FLR	0.455771814968	1.03617491513945
ETS1	FLR	0.585564334152	0.998959813365657
FOS	FLR	0.738568124619	1.02631590432134
FOSL1	FLR	0.752207666107	1.04222768405093
GABP	FLR	0.463500531325	1.04310110529634
GATA1	FLR	0.838360666041	1.00099507541495
GATA2	FLR	0.803147857326	1.02994877132637
IRF1	FLR	0.876927353785	1.10257582854674
JUN	FLR	0.70375016811	1.02469396178053
JUND	FLR	0.744622666669	1.06692162701713
MAFF	FLR	0.627273230589	1.12274486270935
MAFK	FLR	0.607781675024	1.10393592403701
MAX	FLR	0.45307600016	1.02655827412483
MEF2A	FLR	0.817226869474	1.03581314376438
MYC	FLR	0.266216093732	1.00314582582575
NFE2	FLR	0.563238926177	1.04457757146636
NFYA	FLR	0.4442794763	1.04639872246791
NFYB	FLR	0.39409043756	1.11009396618994
NR2F2	FLR	0.592578609471	1.05165461916535
NRF1	FLR	0.358511386411	1.1350310918235
PU1	FLR	0.560204927134	1.10304946974152
RAD21	FLR	0.146943213521	1.15811439915239
REST	FLR	0.610249613624	1.84504979527421
RFX5	FLR	0.5817831067	1.04803261909276
SIX5	FLR	0.631474006345	1.02337100733835
SMC3	FLR	0.162677324475	1.11229713978278
SP1	FLR	0.431213014296	1.02257154245766
SP2	FLR	0.632100986497	1.01953779691289
SRF	FLR	0.736995307761	1.07072802001066
STAT1	FLR	0.530256300528	1.02390766079036
STAT2	FLR	0.85211703434	1.06092241382675
STAT5A	FLR	0.639081002969	1.04719446946978
TAL1	FLR	0.655570417059	1.05306759705214
THAP1	FLR	0.676301280561	1.01009142362212
TR4	FLR	0.679182194593	1.03528309826738
USF1	FLR	0.587444376029	1.07745521001772
USF2	FLR	0.526198069526	1.02048665587845
YY1	FLR	0.720753283229	1.013281220603
ZBTB33	FLR	0.469969486229	1.16336004983103
ZBTB7A	FLR	0.905862807171	0.873442113673983
ZNF143	FLR	0.661591891414	1.0296534785255
ZNF263	FLR	0.828219568556	1.12702719659775
ATF3	PIQ	0.60464540015	1.06466617828167
BACH1	PIQ	0.786930672381	1.41389991583482
BRCA1	PIQ	0.494134260188	1.01512636871479
CEBPB	PIQ	0.770830153102	1.1538154650661
CTCF	PIQ	0.32251716358	1.25560782185837
EGR1	PIQ	0.749282409459	1.2306776245761
FOSL1	PIQ	0.682479958608	1.06581839338181
GABP	PIQ	0.534467733279	1.16052341556048
JUN	PIQ	0.761913346455	1.06586478979517
JUND	PIQ	0.807218901808	1.16680065454616
MAFK	PIQ	0.786973676151	1.21683468068136
MAX	PIQ	0.425915383186	1.12859515289157
MYC	PIQ	0.416266944553	1.07303142582753
NRF1	PIQ	0.128305459891	1.26233773884451
POU5F1	PIQ	0.869840977791	1.10554483491347
RAD21	PIQ	0.316479443453	1.27544758265909
REST	PIQ	0.490044216392	1.70661208307638
RFX5	PIQ	0.557216721889	1.14606574106847
RXRA	PIQ	0.632870878637	1.13134672787995
SIX5	PIQ	0.672866028588	0.603310022064333
SP1	PIQ	0.538431880244	1.17575987635161
SP2	PIQ	0.494158526449	1.15314697785308
SP4	PIQ	0.0596791982171	1.17681217183373
SRF	PIQ	0.758712001764	1.17351271155499
TCF12	PIQ	0.720877904814	1.17192160376743
USF1	PIQ	0.601909079269	1.18216662399112
USF2	PIQ	0.577773081932	1.10082432353276
YY1	PIQ	0.635495552128	1.08706881422829
ZNF143	PIQ	0.689803494665	0.630158166756195
ARID3A	PIQ	0.80716421887	1.03305185380853
ATF1	PIQ	0.687256109933	0.990077993541358
ATF3	PIQ	0.612195738469	1.01535634846638
BACH1	PIQ	0.461480034821	1.12891540035341
BHLHE40	PIQ	0.563904607907	1.11127828952841
CCNT2	PIQ	0.620201438553	1.04806802610918
CEBPB	PIQ	0.837443979326	1.16818264366644
CTCF	PIQ	0.226450856972	1.18232146022335
CTCFL	PIQ	0.196114634764	1.1553619318201
E2F4	PIQ	0.518568752189	1.17677807532616
E2F6	PIQ	0.625726742361	1.10807803920134
EFOS	PIQ	0.755693271069	1.10951706268501
EGATA	PIQ	0.796900563532	1.07575870318021
EGR1	PIQ	0.763513484225	1.21422430721052
EJUNB	PIQ	0.69021680169	1.11845708022882
EJUND	PIQ	0.737108537119	1.11122204121274
ELF1	PIQ	0.308332265108	1.08069587133459
ELK1	PIQ	0.455771814968	1.11194326046037
ETS1	PIQ	0.585564334152	1.02888736761099
FOS	PIQ	0.738568124619	1.07761277698816
FOSL1	PIQ	0.752207666107	1.08848115937959
GABP	PIQ	0.463500531325	1.09429357791612
GATA1	PIQ	0.838360666041	1.02142451167009
GATA2	PIQ	0.803147857326	1.0454535068593
IRF1	PIQ	0.876927353785	1.12851416401462
JUN	PIQ	0.70375016811	1.05125224694268
JUND	PIQ	0.744622666669	1.10950843684671
MAFF	PIQ	0.627273230589	1.15903120895813
MAFK	PIQ	0.607781675024	1.13846004365391
MAX	PIQ	0.45307600016	1.05679319576528
MEF2A	PIQ	0.817226869474	1.051178029903
MYC	PIQ	0.266216093732	1.02621102740658
NFE2	PIQ	0.563238926177	1.08443796539136
NFYA	PIQ	0.4442794763	1.06594575975433
NFYB	PIQ	0.39409043756	1.10620188078991
NR2F2	PIQ	0.592578609471	1.0905070416647
NRF1	PIQ	0.358511386411	1.19205604708012
PU1	PIQ	0.560204927134	1.15545371724335
RAD21	PIQ	0.146943213521	1.20508073913623
REST	PIQ	0.610249613624	1.23308976530274
RFX5	PIQ	0.5817831067	1.08570676589693
SIX5	PIQ	0.631474006345	0.558591466753101
SMC3	PIQ	0.162677324475	1.16076133377129
SP1	PIQ	0.431213014296	1.07675611838376
SP2	PIQ	0.632100986497	1.07739062650436
SRF	PIQ	0.736995307761	1.09478528308497
STAT1	PIQ	0.530256300528	1.05294794087433
STAT2	PIQ	0.85211703434	1.08054150416601
STAT5A	PIQ	0.639081002969	1.07651894744973
TAL1	PIQ	0.655570417059	1.08907509112165
THAP1	PIQ	0.676301280561	1.03955702314154
TR4	PIQ	0.679182194593	1.05917401085768
USF1	PIQ	0.587444376029	1.10741126098139
USF2	PIQ	0.526198069526	1.0421675450793
YY1	PIQ	0.720753283229	1.02990324522175
ZBTB33	PIQ	0.469969486229	1.17485079017597
ZBTB7A	PIQ	0.905862807171	1.07313536323308
ZNF143	PIQ	0.661591891414	0.579298615544696
ZNF263	PIQ	0.828219568556	1.17746362518999
ATF3	Centipede	0.60464540015	1.0460287062098
BACH1	Centipede	0.786930672381	1.1508017798329
BRCA1	Centipede	0.494134260188	1.00867913078383
CEBPB	Centipede	0.770830153102	1.00382577895872
CTCF	Centipede	0.32251716358	1.49371175095995
EGR1	Centipede	0.749282409459	1.15624298471753
FOSL1	Centipede	0.682479958608	1.03622211081044
GABP	Centipede	0.534467733279	1.11389986333324
JUN	Centipede	0.761913346455	1.04006182387206
JUND	Centipede	0.807218901808	1.07015509030554
MAFK	Centipede	0.786973676151	1.04059908090847
MAX	Centipede	0.425915383186	1.01672451035987
MYC	Centipede	0.416266944553	1.00310554250237
NRF1	Centipede	0.128305459891	1.03298498525931
POU5F1	Centipede	0.869840977791	1.06977647692171
RAD21	Centipede	0.316479443453	1.58217033274959
REST	Centipede	0.490044216392	0.828257260043258
RFX5	Centipede	0.557216721889	0.944040626142789
RXRA	Centipede	0.632870878637	1.00320764829193
SIX5	Centipede	0.672866028588	0.990723355913928
SP1	Centipede	0.538431880244	1.0950398736397
SP2	Centipede	0.494158526449	0.829504418108946
SP4	Centipede	0.0596791982171	1.35069535448654
SRF	Centipede	0.758712001764	1.0686376622147
TCF12	Centipede	0.720877904814	0.924115923524182
USF1	Centipede	0.601909079269	1.15458627203763
USF2	Centipede	0.577773081932	1.07600253841954
YY1	Centipede	0.635495552128	1.06478061324658
ZNF143	Centipede	0.689803494665	1.00303824058124
ARID3A	Centipede	0.80716421887	1.01135970398303
ATF1	Centipede	0.687256109933	1.04668190643262
ATF3	Centipede	0.612195738469	1.00873670623514
BACH1	Centipede	0.461480034821	1.09029615605321
BHLHE40	Centipede	0.563904607907	0.873601839862129
CCNT2	Centipede	0.620201438553	1.02543525325736
CEBPB	Centipede	0.837443979326	1.11023599529236
CTCF	Centipede	0.226450856972	1.16591679270752
CTCFL	Centipede	0.196114634764	1.120489331974
E2F4	Centipede	0.518568752189	0.778309021300952
E2F6	Centipede	0.625726742361	1.06717085588545
EFOS	Centipede	0.755693271069	1.07952255615935
EGATA	Centipede	0.796900563532	1.04102106749472
EGR1	Centipede	0.763513484225	1.17203753516518
EJUNB	Centipede	0.69021680169	1.08478091178131
EJUND	Centipede	0.737108537119	1.0811914627393
ELF1	Centipede	0.308332265108	0.997861857335317
ELK1	Centipede	0.455771814968	1.06962447025862
ETS1	Centipede	0.585564334152	1.01653662952272
FOS	Centipede	0.738568124619	1.05161723487817
FOSL1	Centipede	0.752207666107	1.06264562353202
GABP	Centipede	0.463500531325	1.05991206292632
GATA1	Centipede	0.838360666041	1.01214366154952
GATA2	Centipede	0.803147857326	1.02420041731679
IRF1	Centipede	0.876927353785	1.08597895774855
JUN	Centipede	0.70375016811	1.00961668423854
JUND	Centipede	0.744622666669	1.07962366475362
MAFF	Centipede	0.627273230589	0.971099459387105
MAFK	Centipede	0.607781675024	0.971808128195344
MAX	Centipede	0.45307600016	0.980592902347096
MEF2A	Centipede	0.817226869474	1.02222331849745
MYC	Centipede	0.266216093732	1.01185848548588
NFE2	Centipede	0.563238926177	1.05042329594789
NFYA	Centipede	0.4442794763	1.02870217521604
NFYB	Centipede	0.39409043756	1.01830444048631
NR2F2	Centipede	0.592578609471	1.03748650038506
NRF1	Centipede	0.358511386411	1.10658180492042
PU1	Centipede	0.560204927134	0.892638081421268
RAD21	Centipede	0.146943213521	1.16124943956298
REST	Centipede	0.610249613624	0.915588136626
RFX5	Centipede	0.5817831067	1.03746533780497
SIX5	Centipede	0.631474006345	1.00494345238593
SMC3	Centipede	0.162677324475	1.1187542046942
SP1	Centipede	0.431213014296	1.00005838461529
SP2	Centipede	0.632100986497	1.0490905894409
SRF	Centipede	0.736995307761	1.04034985883168
STAT1	Centipede	0.530256300528	1.02057839347933
STAT2	Centipede	0.85211703434	1.02815234901494
STAT5A	Centipede	0.639081002969	1.0316831588429
TAL1	Centipede	0.655570417059	1.02969379979947
THAP1	Centipede	0.676301280561	1.01936175741742
TR4	Centipede	0.679182194593	1.04418480306473
USF1	Centipede	0.587444376029	0.992268018855978
USF2	Centipede	0.526198069526	1.01500181986863
YY1	Centipede	0.720753283229	1.0037769345974
ZBTB33	Centipede	0.469969486229	1.12904044265201
ZBTB7A	Centipede	0.905862807171	1.04996819094358
ZNF143	Centipede	0.661591891414	1.00798029753851
ZNF263	Centipede	0.828219568556	1.12508136987806
ATF3	BinDNase	0.60464540015	1.06267049994152
BACH1	BinDNase	0.786930672381	1.17666190656537
BRCA1	BinDNase	0.494134260188	1.01441770200549
CEBPB	BinDNase	0.770830153102	1.01239463179859
CTCF	BinDNase	0.32251716358	1.54248155097564
EGR1	BinDNase	0.749282409459	1.1930170736891
FOSL1	BinDNase	0.682479958608	1.04987241670628
GABP	BinDNase	0.534467733279	1.15161944262186
JUN	BinDNase	0.761913346455	1.05656515350131
JUND	BinDNase	0.807218901808	1.09028926052484
MAFK	BinDNase	0.786973676151	1.05236389769152
MAX	BinDNase	0.425915383186	1.03169509894281
MYC	BinDNase	0.416266944553	1.01730978241421
NRF1	BinDNase	0.128305459891	1.06388513108054
POU5F1	BinDNase	0.869840977791	1.09992860009308
RAD21	BinDNase	0.316479443453	1.62854260700462
REST	BinDNase	0.490044216392	0.848557560693344
RFX5	BinDNase	0.557216721889	0.963976921177089
RXRA	BinDNase	0.632870878637	1.02884351976963
SIX5	BinDNase	0.672866028588	1.00285599677168
SP1	BinDNase	0.538431880244	1.13087630209105
SP2	BinDNase	0.494158526449	0.844147353573488
SP4	BinDNase	0.0596791982171	0.744791434110931
SRF	BinDNase	0.758712001764	1.08263553776669
TCF12	BinDNase	0.720877904814	0.950540576772196
USF1	BinDNase	0.601909079269	1.17950988722074
USF2	BinDNase	0.577773081932	1.09731751302276
YY1	BinDNase	0.635495552128	1.08375921567742
ZNF143	BinDNase	0.689803494665	1.01841470498411
ARID3A	BinDNase	0.80716421887	1.02116895730777
ATF1	BinDNase	0.687256109933	1.06854003391441
ATF3	BinDNase	0.612195738469	1.01461244488318
BACH1	BinDNase	0.461480034821	1.11962673411852
BHLHE40	BinDNase	0.563904607907	0.890564355118129
CCNT2	BinDNase	0.620201438553	1.04073163969626
CEBPB	BinDNase	0.837443979326	1.13480451302325
CTCF	BinDNase	0.226450856972	1.20864676073911
