ks_pvalue_flr_method	ks_pvalue_flr_corr	ks_pvalue_fos_method	ks_pvalue_fos_corr	ks_pvalue_protection_method	ks_pvalue_protection_corr	ks_pvalue_tc_method	ks_pvalue_tc_corr	ks_stat_flr_method	ks_stat_flr_corr	ks_stat_fos_method	ks_stat_fos_corr	ks_stat_protection_method	ks_stat_protection_corr	ks_stat_tc_method	ks_stat_tc_corr
Centipede_95	0.885637164211	Dnase2Tf	0.851408793167	FLR_80	0.822047997868	Cuellar_95	0.777049929545	Boyle	0.910633966972	Centipede_90	0.854570898585	Boyle	0.692603171476	Neph	0.330095374109
PIQ_99	0.884802158906	PIQ_90	0.847445338962	Wellington	0.822047997868	PIQ_90	0.776832491506	Centipede_90	0.909583374372	Centipede_95	0.839431695065	Centipede_90	0.692315900062	PIQ_85	0.32993942677
Boyle	0.884378819488	HINTBCN	0.84709231444	PIQ_80	0.822047997868	Neph	0.774929723176	Centipede_95	0.905348172954	Centipede_99	0.812062937063	Centipede_95	0.671656981516	FLR_99	0.316942447224
Protection	0.884092721104	FLR_90	0.845675429048	FLR_85	0.820948811695	FLR_90	0.773955393292	FLR_99	0.901917331495	PIQ_85	0.807532256476	PIQ_85	0.671139892971	FLR_85	0.309325650875
FLR_85	0.882929535583	Cuellar_90	0.844742196138	TC	0.81271759336	FLR_85	0.763348058721	FLR_85	0.897078860107	FLR_99	0.799566630553	FLR_99	0.669867690994	PIQ_99	0.306608884074
PIQ_95	0.880860257443	PIQ_95	0.842176543023	Centipede_95	0.798447851011	PIQ_95	0.742905000349	PIQ_99	0.89098870613	FLR_80	0.780372796218	FLR_85	0.667466922749	PIQ_80	0.296833448242
PWM	0.880660150387	HINTBC	0.841569446554	Cuellar_90	0.794504510626	Centipede_90	0.742893931516	PIQ_85	0.878898683476	PIQ_99	0.763436094422	PIQ_99	0.665767917528	Boyle	0.284337141732
Neph	0.880076085304	Centipede_85	0.839539081531	Cuellar_85	0.751513815663	Wellington	0.732923980468	FLR_80	0.855605075675	PIQ_80	0.747402245642	PIQ_80	0.650944712564	Wellington	0.279609475032
HINT	0.880022498369	FLR_95	0.834411908925	PIQ_90	0.733746873389	Centipede_85	0.730953408861	Centipede_85	0.835397583637	Centipede_85	0.740142486621	Centipede_85	0.645145933878	Centipede_85	0.26722397321
FLR_95	0.879231875134	Wellington	0.833249745778	Boyle	0.733208302881	Cuellar_99	0.719380420017	Centipede_99	0.833370268229	Boyle	0.731651564398	Centipede_99	0.616320299419	Centipede_99	0.264248662136
PIQ_85	0.878914325158	Centipede_90	0.832157776694	HINTBC	0.733042884295	PIQ_99	0.71560270091	PIQ_80	0.832775206015	FLR_85	0.729353393086	FLR_80	0.556851012837	Cuellar_99	0.250352933452
FLR_99	0.877149170809	FS	0.825387457788	Cuellar_95	0.729811058887	TC	0.709462897589	TC	0.828839587642	TC	0.685733280804	TC	0.232607767819	TC	0.235024951574
FLR_80	0.873205450057	Neph	0.823691206461	FLR_95	0.725597782262	FLR_99	0.708417815324	Centipede_80	0.826590662858	Protection	0.674743097278	Centipede_80	0.222922617289	Centipede_80	0.212658820053
Wellington	0.872714380896	HINT	0.823691206461	Neph	0.72329196625	Dnase2Tf	0.70367209913	Protection	0.82478085295	Cuellar_90	0.645351127745	Cuellar_90	0.216430283332	Cuellar_90	0.17103319216
Dnase2Tf	0.869368608762	Cuellar_99	0.821970540287	PIQ_95	0.723214200499	HINTBCN	0.698855767399	PWM	0.814882300798	Cuellar_80	0.527454939427	Cuellar_80	0.149668406711	Cuellar_80	0.168431333924
Centipede_90	0.867925474839	Cuellar_85	0.81754267009	HINTBCN	0.722727365974	Centipede_95	0.693975458635	Cuellar_90	0.808410486227	Cuellar_85	0.522788830887	Cuellar_85	0.144965363275	Cuellar_85	0.152077382711
Centipede_80	0.852738807359	TC	0.8107702157	Centipede_99	0.721851505302	Centipede_80	0.693850881355	Cuellar_80	0.77973669523	Cuellar_95	0.47662841853	Cuellar_95	-0.0859680225877	Cuellar_95	0.127885025772
Cuellar_85	0.844270166453	Protection	0.804069408949	Centipede_90	0.719270166453	PIQ_80	0.666517567301	Cuellar_85	0.773687580026	Cuellar_99	0.447101021045	Cuellar_99	-0.334256705736	FLR_80	0.122648478282
Cuellar_99	0.830952390731	Cuellar_95	0.778721957774	FLR_90	0.71601579172	Boyle	0.661822618832	Cuellar_95	0.750779736695	Centipede_80	0.30357201484	Protection	-0.473784431531	Protection	0.088684789389
Cuellar_80	0.798790997735	Cuellar_80	0.753417040032	Dnase2Tf	0.70932395477	Cuellar_90	0.658018166643	Cuellar_99	0.70147985817	PWM	0.27985981155	FS	-0.489473554614	FS	0.0187711349683
Cuellar_90	0.776439446819	PWM	0.602026837647	HINT	0.706420926491	Centipede_99	0.653189761623	FS	0.659698282938	FS	-0.539709117174	PWM	-0.498518500279	PWM	-0.00501493811353
