PU1_TP	PU1_FP	PU1_TN	PU1_FN
4.011	1.389	0.253648778229	1.032
3.494	1.27890526443	0.194	0.833
3.86752898151	1.222	0.201	0.882
4.084	1.308	0.169	0.855
4.354	1.14	0.196708563961	0.778
4.598	1.422	0.263	0.878
4.176	1.42	0.208	1.039
4.17	1.14173846872	0.223	0.952
4.018	1.23	0.278516174484	0.944
3.70910155375	1.331	0.291708563961	0.87
3.71	1.821	0.416	0.737
3.478	1.30940544715	0.233292102724	0.832
3.816	1.212	0.236	0.992
4.467	1.677	0.269	1.09526611494
4.786	1.54020500399	0.3	1.137
4.00699904084	1.179	0.191	0.969
3.527	1.90499781673	0.187874391074	0.799
3.763	1.13	0.283	0.822
3.877	1.273	0.247872078784	0.799063500406
3.463	1.201	0.256	0.862
3.935	1.089	0.198	0.9
4.43040624551	1.149	0.183696249925	0.723822898736
3.646	1.11840404356	0.217	0.784730745376
3.952	1.13870856396	0.229	0.768
3.64	1.08653296394	0.190652076409	0.787
3.851	1.006	0.19	0.793459739553
3.988	0.988	0.208	0.739
3.482	1.065	0.242532771404	0.824
3.294	0.98	0.220708563961	0.838
3.631	1.077	0.342091042752	0.806708563961
3.43	0.966	0.317	0.807
3.492	1.141	0.196448186362	0.822
3.535	1.134	0.276708563961	0.757
3.69793815525	1.214	0.271	0.769
3.584	1.128	0.318708563961	0.866651040191
3.504	1.039	0.37	0.842
3.815	1.188	0.249	0.946
3.593	1.19	0.239	0.988
3.658	1.03	0.224	0.992
3.763	1.088	0.235	0.801
3.473	1.056	0.162	0.991
3.49861068451	1.165	0.168	0.775
3.62326474982	1.059	0.217	0.677
3.481	1.018	0.208708563961	0.792
3.689	1.051	0.201	0.782
3.508	1.058	0.166	0.814
3.55806887886	0.986	0.201	0.809
3.247	1.05	0.225	0.739
3.529	1.083	0.195	0.696
3.431	1.146	0.224	0.785628913087
3.337	1.146	0.19	0.743
3.477	1.171	0.239	0.77
3.469	1.015	0.203	0.764
3.109	1.185	0.217	0.841
3.569	1.124	0.214	0.868
3.404	1.064	0.205	0.762
3.531	1.18	0.207	0.704289473339
3.52	1.261	0.193	0.644
3.938	1.28	0.184	0.599
3.577	1.208	0.259874391074	0.699
3.923	1.149	0.222	0.712
4.122	1.128	0.208	0.641
3.5	1.071	0.212874391074	0.68
3.981	0.995	0.182	0.702
4.026	1.232	0.203	0.728
3.428	1.107	0.203	0.737
3.567	1.117	0.218	0.833919108039
3.363	1.284	0.211708563961	0.898
3.254	1.213	0.195874391074	0.825307170731
3.469	1.16	0.217	0.662
3.245	1.36470015536	0.242851079518	0.735
3.342	1.062	0.237739622401	0.672
3.195	1.082	0.206	0.674
3.668	1.192	0.195	0.694832968925
3.365	1.121	0.189874391074	0.691
3.377	1.228	0.194	0.748
3.639	1.134	0.212	0.697299261393
3.318	1.216	0.223	0.64
3.056	1.2767500366	0.270874391074	0.679
3.486	1.101	0.211	0.703
3.68556710775	1.05143660192	0.215708563961	0.697
2.984	1.007	0.240708563961	0.664
2.999	1.0895221157	0.282	0.751
2.913	1.255	0.280454936837	0.754
3.178	1.161	0.257487758057	0.731407499303
2.862	1.191	0.255	0.645
2.684	1.225	0.219135405232	0.631
2.882	0.988	0.222	0.728
3.17514467787	1.017	0.21973613814	0.77
2.748	1.26298327264	0.216	1.28394061519
2.525	1.109	0.227	1.043
2.705	0.888	0.193	0.781
2.618	0.971404171671	0.234125691884	1.095
2.72	0.947	0.214	0.812
