GATA1_TP	GATA1_FP	GATA1_TN	GATA1_FN
8.7884413183	1.72305583293	0.243	5.81534378461
7.898	1.418	0.169	5.05245901639
6.784	1.241	0.187	4.58524590164
7.239	1.44756922288	0.219647123234	4.54590163934
6.888	1.476	0.165	4.40655737705
7.277	1.67470271342	0.18	4.66393442623
8.073	1.48818990819	0.208	4.1737704918
9.51026105161	1.66670311714	0.218	5.25573770492
10.4567767114	1.76171660706	0.178	6.08053337867
9.37061124431	1.61260056783	0.251	5.53084974418
8.55404184182	1.398	0.218708563961	4.76229508197
8.16	1.358	0.185	4.45245901639
6.714	1.3	0.177417127923	3.89508196721
8.23276478276	1.342	0.192	4.79180327869
5.299	0.955	0.141	3.60983606557
4.667	1.049	0.146	3.25245901639
1.995	0.735	0.181114766127	1.66557377049
1.858	0.638	0.146	1.60327868852
1.414	0.477	0.102	1.21475409836
0.72	0.309	0.0659920720454	0.698360655738
1.56	0.54	0.1	1.33606557377
1.865	0.668	0.131	1.59508196721
1.923	0.582	0.133	1.42459016393
4.823	0.915883923955	0.236	3.43770491803
5.166	1.037	0.157	3.86885245902
7.59497455081	1.38458504814	0.176	5.53392467842
6.542	1.27554573551	0.185	4.78032786885
7.643	1.36211630014	0.189	5.55577270805
8.07780990583	1.372	0.217	5.26885245902
8.909	1.547	0.242531547374	5.40491803279
9.62452898151	1.653	0.214	5.7737704918
9.34631332838	1.627	0.252	5.3262295082
7.953	1.51187826867	0.211	5.13278688525
7.486	1.498	0.214	4.59836065574
7.359	1.25642684127	0.204	4.75081967213
6.781	1.59523704338	0.178981126238	4.5
6.908	1.337	0.274	4.16721311475
8.48073099846	1.42874958018	0.216	4.8176090437
8.92857394646	1.529	0.213	5.56721311475
7.129	1.262	0.225	5.04918032787
6.949	1.31	0.187	4.88196721311
6.843	1.392	0.226	4.71475409836
7.766	1.383	0.199	4.8131147541
7.49582501655	1.327	0.244739622401	4.44262295082
6.823	1.181	0.150678721164	4.35573770492
7.05176639752	1.393	0.214404107697	4.70327868852
6.578	1.335	0.184736423039	4.5
6.333	1.242	0.188	4.20655737705
6.937	1.293	0.18	4.0737704918
7.149	1.287	0.186	4.75409836066
7.117	1.198	0.16835097905	5.01475409836
7.14	1.226	0.162	4.40491803279
6.61	1.099	0.163708563961	4.71803278689
6.81612732775	1.077	0.162	4.94426229508
6.426	1.04	0.205	4.56892690235
6.302	1.13	0.188	4.87704918033
5.984	1.042	0.185832968925	4.3868852459
5.80304175234	0.968	0.207	4.06393442623
5.844	1.001	0.177	4.47540983607
5.966	1.074	0.193	3.8606557377
5.534	1.039	0.198	4.38196721311
5.756	1.12061984917	0.182	4.22131147541
6.19	1.026	0.223	3.94590163934
6.489	0.983	0.207	3.45245901639
5.945	1.024	0.209	3.25245901639
5.633	0.919	0.163	3.89344262295
5.903	1.043	0.173	3.47049180328
5.798	0.965	0.233463441063	3.77213114754
5.985	0.977	0.218	3.52131147541
5.671	0.969	0.19	3.85245901639
5.935	1.011	0.184708563961	3.43606557377
5.716	0.964	0.172	3.27049180328
5.439	0.929	0.197	3.61967213115
4.928	1.009	0.196	3.44262295082
4.915	1.015	0.188708563961	3.63278688525
5.052	0.952	0.161008650003	3.51639344262
5.162	0.885	0.221	3.41147540984
5.191	1.04	0.185	3.34098360656
4.96	1.147	0.14735097905	3.66721311475
5.517	1.047	0.167	3.7441409455
5.482	1.13	0.223708563961	3.53278688525
6.13214935335	1.004	0.217	3.5131147541
5.646	0.928	0.232	3.16557377049
5.42811639724	0.916	0.189	3.18852459016
5.32172728836	1.002681493	0.192	3.08196721311
5.228	1.036	0.17	2.97704918033
5.19023375637	0.884	0.187	3.21803278689
5.33200675667	1.009	0.19	3.70655737705
5.149	1.06144978008	0.175	3.16885245902
5.088	0.951	0.209	3.28032786885
4.951	0.929	0.165	2.70163934426
4.752	1.055	0.157	2.79016393443
4.696	1.089	0.171	3.0131147541
4.489	0.894	0.206	2.87540983607
4.239	0.953	0.25	2.74098360656
4.386	0.885	0.237	2.87049180328
4.471	0.82	0.207	2.84754098361
4.458	0.906	0.208	2.53442622951
4.294	1.112	0.188	3.01639344262
3.869	0.953	0.223	3.00491803279
4.214	0.962	0.202	3.16721311475
4.126	0.956	0.194874391074	3.14262295082
4.177	0.806	0.22	2.50491803279
3.954	0.794	0.229554027642	2.77540983607
4.188	0.898	0.174	2.84590163934
4.422	0.922	0.215	2.76557377049
4.043	0.906	0.182708563961	2.80983606557
3.894	0.901	0.232	2.76229508197
4.027	0.832	0.182708563961	2.7131147541
3.821	0.853	0.223	2.37049180328
3.928	0.919	0.214	2.26557377049
3.753	0.783	0.163411123382	2.2868852459
3.721	0.733	0.287093480331	2.1737704918
3.559	0.785	0.163	2.23278688525
3.41	0.812555973799	0.167	2.23770491803
3.406	0.7	0.196	2.18032786885
3.566	0.748	0.181156356329	2.30819672131
3.773	0.791	0.195	2.40163934426
3.318	0.781	0.183708563961	2.08524590164
