GATA2_TP	GATA2_FP	GATA2_TN	GATA2_FN
5.005	1.05154620288	0.21846615304	2.51259717899
4.643	1.108	0.16	2.428
4.708	0.991	0.187	2.472
4.862	1.041	0.159	2.52
4.623	0.925	0.194708563961	2.405
4.646	0.965	0.188	2.482
5.15776909263	0.975	0.182	2.435
4.523	0.883	0.155	2.481
4.646	1.013	0.128	2.379
4.981	0.966	0.211318077362	2.427
5.691	1.137	0.175	3.11219481534
5.82	1.213	0.191	2.837
4.631	0.977	0.159	2.489
4.889	1.186	0.159	2.391
5.26024381226	1.42352080489	0.240444534853	2.615
5.255	1.015	0.236	2.23419481534
4.556	0.962	0.173	2.256
5.799	1.18341857168	0.311	2.669
5.68454770091	1.19971730505	0.173	2.851
5.68083491298	1.296	0.144	2.706
5.40882382005	1.23874422766	0.176	2.59441644702
5.57819305959	1.222	0.210708563961	2.65
6.72103859233	1.29571660706	0.174	2.764
5.504	1.223	0.205	2.415806211
5.64304184182	1.076	0.165	2.605
3.723	0.75	0.164910985093	1.743
3.431	0.838	0.146	1.701
3.811	0.951	0.149	1.77983296892
3.259	0.762	0.159	1.747
2.68	0.606	0.102	1.383
0.881	0.366	0.0719920720454	0.602
1.605	0.634	0.141	1.003
1.545	0.566	0.115	0.946
0.883	0.359	0.092	0.539
2.69	0.64286860892	0.19	1.575
3.239	0.828	0.156	1.837
4.05517348475	0.924	0.156	2.20246830417
3.217	0.834549342813	0.175	2.039
3.232	0.884116300144	0.135	1.991
4.692	1.15958504814	0.193	2.677
4.89175363776	1.055	0.168	3.119
6.01292390834	1.227	0.203	3.158
5.191	1.272	0.157	2.716
5.028	1.31299184548	0.173531547374	2.78403891879
5.512	1.214	0.152	2.626
6.09117017199	1.378	0.205	2.865
4.992	1.31053980827	0.153	2.713
4.444	1.004	0.189	2.482
5.069	1.02117642145	0.199824811907	2.658
5.303	1.043	0.186241503837	2.682
5.165	1.103	0.185	2.716
5.44687380796	1.139	0.175	2.51
5.83468976049	1.283	0.221	3.154
5.413	1.266	0.215989429394	3.24601862978
5.014	1.08	0.188739622401	2.72
4.635	1.067	0.148678721164	2.307
4.853	1.093	0.186	2.394
4.964	1.116	0.19542684127	2.415
4.601	0.973	0.154	2.35
4.77176639752	1.183	0.174	2.348
4.659	1.094	0.168	2.232
4.192	1.001	0.167	2.474
4.761	1.65475445045	0.188	2.304
4.735	0.993	0.175	2.196
4.971	1.052	0.149	2.366
4.332	1.014	0.168	2.30491488167
4.392	0.966	0.187686359719	2.297
4.411	0.984	0.168	2.194
4.153	0.962	0.182	2.178
4.25	0.974	0.149	2.15
4.197	1.136	0.185	2.187
4.08704175234	0.905	0.161	2.322
3.987	0.845619849171	0.16	2.361
3.936	0.822	0.189	2.304
3.851	0.874	0.179	1.994
4.201	0.884	0.167	2.386
4.201	0.874	0.159	2.25698199894
4.048	0.978	0.184	2.119
3.777	0.87	0.192463441063	2.128
3.726	0.793	0.182	2.044
3.583	0.744	0.162	1.991
4.095	0.851645597372	0.152	1.968
3.822	0.894	0.184	2.05
3.727	0.870251621667	0.194708563961	2.207
3.447	0.793	0.205	1.921
3.515	0.783	0.197	2.04
3.37662393169	0.777693996491	0.148	1.93
3.497	0.79	0.185585048143	1.837
3.327	0.82	0.179708563961	2.014
3.469	0.903	0.172008650003	2.004
3.452	0.85	0.193	2.009
3.286	0.89	0.183	1.901
3.221	0.866	0.18535097905	2.051
3.513	0.847181776472	0.196	2.125
3.473	0.821	0.171	2.1281344065
3.16	0.824	0.176	1.98
3.147	0.849	0.177	1.799
3.358	0.79	0.195	1.981
3.172	0.85	0.169910985093	1.874
3.135	0.775	0.169	1.871
3.469	0.669	0.17	1.849
3.463	0.662	0.185542964345	1.821
2.825	0.730449780083	0.15	1.711
2.944	0.757	0.179	1.676
3.088	0.77	0.198	1.65671861887
3.13270343355	0.766	0.177	1.73689397877
3.082	0.754	0.151	1.664
2.9	0.741	0.193	1.602
2.884	0.725	0.213	1.576
3.14	0.808	0.184	1.82
2.981	0.715	0.182	1.434
2.934	0.696	0.172	1.484
2.883	0.74	0.208	1.737
2.619	0.728	0.149708563961	1.47
2.848	0.759	0.160554027642	1.531
2.789	0.839	0.158	1.514
3.223	0.738	0.20703790758	1.358
2.852	0.721	0.158	1.343
2.829	0.715	0.145	1.394
2.77286535352	0.739	0.148	1.48890811553
2.644	0.662	0.154708563961	1.40941552092
2.463	0.765	0.154	1.388
2.441	0.71	0.154708563961	1.359
2.457	0.692	0.18073613814	1.281
2.404	0.77	0.192	1.232
2.545	0.749561282655	0.178411123382	1.316
2.724	0.741	0.196357342191	1.344
2.423	0.75	0.186	1.321
2.302	0.749	0.18	1.394
2.417	0.63	0.195	1.39
2.396	0.651	0.181260899774	1.266
2.183	0.565	0.189	1.225
