ARID3A_TP	ARID3A_FP	ARID3A_TN	ARID3A_FN
2.89795918367	0.251	0.116	1.06387665198
1.44387755102	0.208	0.097	0.746696035242
0.561224489796	0.108	0.039	0.378854625551
0.34693877551	0.095	0.033	0.319383259912
0.867346938776	0.195	0.061	0.73127753304
0.545918367347	0.151	0.0456520764086	0.488986784141
0.44387755102	0.0897085639614	0.029	0.374449339207
0.887755102041	0.166	0.041	0.552863436123
2.6887755102	0.437	0.158	2.12924449857
1.85714285714	0.347	0.151	1.40748898678
2.01020408163	0.319	0.103	1.1718061674
2.81639310625	0.353841745658	0.118	1.26211453744
2.5	0.384	0.127	1.42290748899
2.85204081633	0.347846124734	0.135585048143	1.58370044053
2.57142857143	0.364	0.123417127923	1.66740088106
3.07653061224	0.385	0.119	1.43392070485
2.23979591837	0.36373613814	0.111708563961	1.43392070485
2.36224489796	0.306454936837	0.097	1.49559471366
2.19897959184	0.425	0.133708563961	1.7692373214
2.58163265306	0.382	0.122	1.39427312775
3.86734693878	0.321	0.119	1.41189427313
2.24489795918	0.295	0.128874391074	1.18502202643
1.77040816327	0.219	0.161	0.947136563877
1.96428571429	0.428	0.112	1.02422907489
2.70918367347	0.294847665168	0.128	1.52422907489
2.47448979592	0.363	0.164019306996	1.51762114537
2.7193877551	0.434	0.166	1.39427312775
2.34693877551	0.363708563961	0.142	1.45154185022
2.33163265306	0.43766479523	0.131	1.48237885463
2.91836734694	0.475	0.143	1.5154185022
3.22959183673	0.475	0.100910985093	1.79515418502
3.27040816327	0.465	0.150585048143	1.96916299559
2.57142857143	0.424	0.125708563961	1.40946982152
3.41836734694	0.425989554558	0.134	1.6013215859
3.17346938776	0.349	0.158	1.50660792952
2.30612244898	0.335	0.148708563961	1.66079295154
2.59183673469	0.424	0.151585048143	1.6563876652
2.11224489796	0.402	0.13	1.5704845815
2.87244897959	0.452	0.143417127923	1.61674008811
2.3112244898	0.434	0.221	1.58370044053
2.44387755102	0.368	0.165	1.73127753304
2.5	0.396	0.16035097905	1.62775330396
2.20408163265	0.401	0.144	1.58810572687
2.74489795918	0.452943731972	0.172144580602	1.80616740088
2.40816326531	0.54	0.252417127923	1.83920704846
2.13265306122	0.482	0.165	1.62775330396
2.03571428571	0.43	0.170992072045	1.8127753304
2.09183673469	0.411	0.113708563961	1.67841409692
2.39285714286	0.4	0.139	1.53744493392
1.87755102041	0.398	0.116	1.73127753304
2.57653061224	0.397	0.117	1.53668970779
3.20918367347	0.503	0.116	1.51321585903
2.67346938776	0.47	0.134	1.47797356828
3.27551020408	0.435979874883	0.124	1.63876651982
2.10714285714	0.411	0.142	1.71806167401
2.45918367347	0.443934334225	0.149708563961	1.6718061674
2.16836734694	0.415	0.156	1.48237885463
2.21428571429	0.512	0.158	1.51321585903
2.58673469388	0.484176186262	0.206	1.4845814978
2.22959183673	0.439	0.192	1.77753303965
2.54081632653	0.426	0.154	1.49779735683
2.87244897959	0.578	0.154	1.65198237885
2.59693877551	0.511	0.152	2.06828193833
3.72236124487	0.434	0.164454936837	1.61894273128
3.01020408163	0.492	0.168998425278	1.50440528634
2.41836734694	0.533201322791	0.17	1.44713656388
2.6887755102	0.485	0.139	1.60572687225
2.70918367347	0.516	0.148	1.46255506608
2.08673469388	0.511	0.129	1.64160004896
2.03571428571	0.515889010888	0.126	1.45154185022
2.07653061224	0.581	0.177652076409	1.31057268722
2.21428571429	0.63	0.17474117451	1.2268722467
2.27551020408	0.602	0.151874391074	1.51321585903
2.60204081633	0.659	0.152	1.50220264317
2.73469387755	0.608	0.132	1.4845814978
2.37755102041	0.457	0.162	1.4295154185
2.74489795918	0.483	0.138	1.48017621145
2.68367346939	0.426	0.157708563961	1.49779735683
2.7806122449	0.452	0.163	1.95374449339
2.42857142857	0.542	0.197832325013	1.58810572687
2.33673469388	0.453	0.176	1.28634361233
2.19387755102	0.465	0.159812694674	1.53524229075
2.15306122449	0.501	0.18	1.53083700441
2.39285714286	0.471	0.212	1.20704845815
1.66326530612	0.489	0.181	1.44273127753
1.85204081633	0.495	0.21335097905	1.21145374449
1.87755102041	0.45	0.245708563961	1.31938325991
1.85714285714	0.381	0.175	1.48898678414
1.99489795918	0.472	0.178469221946	1.25991189427
2.09693877551	0.467	0.139708563961	1.29074889868
1.94897959184	0.488451927724	0.151708563961	1.37004405286
2.00510204082	0.477	0.142648778229	1.31718061674
2.00510204082	0.584	0.155918190249	1.46060807828
2.23469387755	0.552	0.131	1.69314228958
2.00510204082	0.493	0.143	1.82235132731
1.86734693878	0.574029975698	0.175	1.64537444934
1.95918367347	0.570883906579	0.157	1.61894273128
2.21428571429	0.467221923471	0.16284182298	1.47136563877
1.69897959184	0.59	0.134	1.46475770925
1.59183673469	0.461	0.134	1.29295154185
2.19413192901	0.558	0.139708563961	1.19823788546
1.89970836987	0.578	0.139417127923	1.24889867841
1.84183673469	0.522	0.142	1.40748898678
2.21428571429	0.54	0.163945164098	1.26211453744
2.03571428571	0.542	0.181620942741	1.19823788546
