TAL1_TP	TAL1_FP	TAL1_TN	TAL1_FN
3.604	0.796	0.207	1.197
3.692	0.918188044108	0.179	1.145
3.623	0.767	0.157	1.29
3.57582479064	0.907	0.164	1.263
3.455	0.912	0.195	1.362
3.52323020665	0.899	0.169	1.32
3.722	0.926	0.185	1.353
4.361	0.985	0.199	1.39
4.081	1.6490146014	0.184	1.24669960065
4.10038274808	1.179	0.169	1.205
4.596	1.063	0.159	1.189
4.90098835285	1.313	0.148	1.416
4.342	1.112	0.156	1.228
3.879	0.874	0.163	1.32
4.285	0.875	0.182	1.28
4.194	0.921	0.183	1.53794435088
4.53273515638	1.031	0.178	1.536
4.76828172419	1.099	0.194	1.464
4.87719687575	1.163	0.16	1.229
4.4594040951	1.097	0.186	1.33706413285
4.53	0.992067041457	0.186	1.337
4.70394221729	1.06196590573	0.191	1.32895994964
4.64558245127	1.008	0.180992072045	1.308
4.506	0.812	0.193	1.082
4.428	1.06172684622	0.19	1.266
3.714	0.967	0.20473613814	1.281
3.372	0.765	0.164	1.107
2.261	0.674	0.167585048143	0.946758198278
2.269	0.762	0.161	0.982
2.961	0.796548818218	0.194652076409	1.233
1.90814386988	0.643	0.138	0.839
1.843	0.55	0.133	0.796
2.244	0.76	0.195	0.982
2.153	0.796	0.171163564163	0.926
2.059	0.777	0.207	0.932
2.25600217487	0.787	0.189	0.965
2.177	0.872585048143	0.165	0.818
2.027	0.884	0.168	0.906
2.161	0.986710717623	0.163	0.872
2.315	0.873	0.17073613814	0.941
1.755	0.657	0.108	0.777
1.698	0.678	0.158	0.657
2.721	1.02483296892	0.195	1.133
2.306	0.88	0.192	0.878
2.289	0.852	0.180648778229	0.758
3.298	0.86342684127	0.158	1.274
4.07801686573	1.082	0.207	1.645
5.205	1.17	0.192	1.491
5.2453067294	1.1861027616	0.195	1.40814448061
5.165	1.172	0.204	1.719
4.631	1.2326443558	0.178832968925	1.459
4.341	1.03	0.187	1.5
4.366	1.036	0.16	1.55
4.15	1.012	0.181874391074	1.391
4.159	0.914885359292	0.195	1.42933992892
3.99	0.923	0.167	1.367
3.82681181816	1.07112569188	0.166	1.344
3.924	1.071	0.18	1.285
3.316	1.013	0.202	1.334
4.25824591178	0.889	0.2	1.571
4.584	0.979	0.18	1.541
4.533	0.978	0.161	1.52322095502
3.971	0.968	0.161	1.232
3.72930710949	0.932	0.147	1.351
4.1	1.08333462855	0.182798998462	1.363
3.767	0.945	0.193	1.296
3.479	0.928	0.164	1.292
3.352	0.979	0.153	1.262
3.736	0.952710820564	0.171	1.315
3.484	0.899	0.175	1.198
3.443	0.968	0.156	1.185
3.297	0.971260934492	0.193	1.378183549
3.242	0.805	0.18335097905	1.304
3.433	0.845	0.187	1.22204942617
3.476	0.904	0.173	1.255
3.68658042752	0.773	0.169	1.122
3.278	0.78	0.199	1.306
3.298	0.768	0.158369588601	1.34
2.961	0.858	0.142	1.043
2.972	0.853	0.154	1.029
3.355	0.809	0.176	1.008
3.391	0.753	0.168	1.006
3.32170639957	0.821	0.183	1.20292797731
3.006	0.894	0.162	1.086
2.938	0.725	0.163	1.10745804487
3.028	0.801	0.173	1.168
3.115	0.904	0.199	1.035
2.844	0.858	0.187	1.104
2.813	0.872	0.185	0.974
2.991	0.671	0.156554027642	1.083
3.44345743505	0.737666041979	0.16	1.156
3.036	0.851	0.19	1.023047091
3.229	0.883	0.156	1.061
3.227	0.776	0.185	0.997
3.161	1.047	0.169606375507	1.036
2.957	0.769	0.176950067798	0.965
2.75	0.721	0.151	1.13609901275
3.1	0.764	0.178708563961	0.969
3.001	0.808	0.174	0.9
2.967	0.868	0.181	0.938
2.851	0.663	0.176	0.845
3.067	0.654	0.193	0.79
2.91622681019	0.674	0.199000766473	0.897
2.907	0.709	0.180533027973	0.841
2.612	0.802850926384	0.172	0.836
2.521	0.796	0.169	1.007
2.51808430375	0.81	0.22783242896	0.95
2.423	0.824	0.177	0.825
2.52698449284	0.779	0.210363367701	0.973
2.282	0.684	0.189	0.932
2.38	0.781961914173	0.17	0.847002754003
2.465	0.698	0.163	0.94
2.707	0.643	0.185417127923	0.854
2.621	0.646	0.188	0.818
2.56348265768	0.723	0.207554027642	0.707
2.438	0.792	0.184860041839	0.8
2.618	0.653	0.235856920938	0.723
2.252	0.632	0.187	0.74159074177
2.17	0.659	0.188	0.797
2.15	0.617	0.192	0.796
2.394	0.554	0.181	0.756
2.19	0.572	0.231	0.87595787557
2.184	0.702	0.23229476992	0.842
2.284	0.724	0.191648778229	0.698
2.261	0.728	0.174	0.739
1.975	0.744	0.168	0.702
1.963	0.798	0.183	0.758
2.126	0.701	0.166	0.685
2.241	0.682	0.17	0.695
1.828	0.712	0.183	0.709
1.818	0.611	0.211	0.732
1.849	0.687	0.201	0.766
1.894	0.761	0.17	0.717
1.843	0.57	0.174	0.703
1.718	0.626	0.171	0.658
1.80532288584	0.651	0.160766445542	0.602
