MEF2A_TP	MEF2A_FP	MEF2A_TN	MEF2A_FN
2.59656652361	0.618	0.0903836346191	1.037
2.56759656652	0.649	0.14	1.03787664847
2.3186695279	0.642	0.138	0.905
2.45386266094	0.641	0.104874391074	0.831
2.51072961373	0.567	0.112	0.987
2.62339055794	0.733	0.13036064037	1.053
2.46244635193	0.631326225577	0.0751256918841	0.909
2.46888412017	0.678	0.086	0.941
2.52145922747	0.773	0.0725415328863	1.01777357068
2.70064377682	0.7	0.130717213964	0.967
2.74463519313	0.789	0.133369588601	0.992
2.33690987124	0.748	0.101708563961	0.994
2.61939372503	0.762	0.102	0.86
2.24356223176	0.633	0.105	0.992977795758
2.15665236052	0.736	0.0991700962862	0.958
2.33369098712	0.766	0.0923622920205	0.92
2.52467811159	0.602	0.102	0.861
2.38733905579	0.732	0.172708563961	0.998
2.37568926862	0.596	0.108417127923	0.937
2.12553648069	0.563	0.125251993482	0.937
2.23605150215	0.666	0.0667085639614	0.855
2.29077253219	0.667	0.081	0.907
2.12660944206	0.62	0.121417127923	0.896
2.41416309013	0.64	0.115708563961	0.84
