TR4_TP	TR4_FP	TR4_TN	TR4_FN
5.99441340782	1.419	0.348	4.84337349398
6.81005586592	1.382	0.437454936837	3.73493975904
5.71508379888	1.295	0.443	4.68674698795
6.76418345227	1.39	0.413	4.1686746988
5.69832402235	1.553	0.416	6.09638554217
5.27374301676	1.564	0.352	4.56626506024
7.1061452514	1.613	0.444	4.56626506024
4.80446927374	1.5	0.427290838087	5.9156626506
5.45810055866	1.543	0.347	5.49397590361
6.78212290503	1.603	0.438	5.78313253012
6.76536312849	1.592	0.392	4.9156626506
6.95530726257	1.687	0.354	4.0
5.53072625698	1.559	0.354	4.96385542169
7.16201117318	1.554	0.399	5.44578313253
5.72625698324	1.63	0.397	6.44578313253
5.92737430168	1.69	0.458	6.74698795181
6.66480446927	1.46	0.359	3.72289156627
6.12290502793	1.68	0.386	2.36144578313
6.18994413408	1.565	0.349	3.67469879518
5.2625698324	1.547	0.314	5.66265060241
5.68715083799	1.452	0.361	5.57831325301
5.05586592179	1.354	0.433	4.44578313253
6.91061452514	1.537	0.371	3.57831325301
7.62004645426	1.327	0.328	3.81927710843
6.81005586592	1.565	0.343	3.8313253012
5.35754189944	1.489	0.384	4.40963855422
5.78770949721	1.335	0.374	4.32530120482
6.03910614525	1.46	0.336	5.38554216867
5.44134078212	1.384	0.351	3.4578313253
5.94413407821	1.406	0.386	3.03614457831
4.89944134078	1.392	0.506	2.79518072289
5.59217877095	1.405	0.351	2.98795180723
5.36312849162	1.316	0.332	3.38554216867
4.65921787709	1.42	0.344708563961	3.79518072289
6.17318435754	1.158	0.344	4.72289156627
5.95530726257	1.39	0.441708563961	4.38554216867
5.11731843575	1.416	0.396	3.3734939759
5.32960893855	1.59748226728	0.323	3.40963855422
6.32960893855	1.618	0.332	3.03614457831
5.5530726257	1.421	0.353	2.89156626506
4.75977653631	1.527	0.406	3.67469879518
5.56983240223	1.528	0.368838195478	2.02409638554
6.74860335196	1.451	0.316	2.1686746988
6.34078212291	1.75728190397	0.37127436433	2.38554216867
6.33519553073	1.37926563483	0.41	2.60240963855
5.46927374302	1.242	0.359	2.85542168675
4.74301675978	1.25482421561	0.326	3.92771084337
4.83240223464	1.456	0.41	4.86746987952
4.41899441341	1.548043203	0.345708563961	5.55421686747
5.7374301676	1.428	0.484	2.61445783133
4.46368715084	1.489	0.629	2.21686746988
3.7374301676	1.775	0.380970936404	3.01204819277
4.51955307263	1.561	0.486	3.02409638554
5.03910614525	1.435	0.409	2.97590361446
5.26815642458	1.275	0.446	2.25301204819
6.01675977654	1.423	0.572125691884	2.3734939759
