ks_pvalue_flr_method	ks_pvalue_flr_corr	ks_pvalue_fos_method	ks_pvalue_fos_corr	ks_pvalue_protection_method	ks_pvalue_protection_corr	ks_pvalue_tc_method	ks_pvalue_tc_corr	ks_stat_flr_method	ks_stat_flr_corr	ks_stat_fos_method	ks_stat_fos_corr	ks_stat_protection_method	ks_stat_protection_corr	ks_stat_tc_method	ks_stat_tc_corr
Neph	0.841107148115	PIQ_85	0.852633805129	Centipede_80	0.817633861229	Protection	0.826359787009	Centipede_90	0.73390459306	PIQ_85	0.706507107916	Centipede_90	0.655319445812	PIQ_85	0.520211595916
Protection	0.840855020291	FLR_99	0.852420466857	Centipede_95	0.802805767813	Centipede_90	0.823991036002	Centipede_95	0.72794165928	Centipede_90	0.705637085919	Boyle	0.632567549821	Neph	0.514564660691
Dnase2Tf	0.839134783761	FLR_85	0.851861259118	FLR_99	0.79278755198	Cuellar_95	0.823293045234	PIQ_85	0.723357628287	Wellington	0.704479792508	Centipede_95	0.573619455662	FLR_99	0.511105092091
HINTBC	0.838992416249	FLR_90	0.847857973473	PIQ_99	0.780035873645	Dnase2Tf	0.823263328045	Boyle	0.716032207229	PIQ_99	0.693780984274	PIQ_85	0.557716930956	PIQ_95	0.49482501067
HINTBCN	0.838992416249	Centipede_95	0.846551276731	Cuellar_99	0.776413780258	Centipede_80	0.816064887688	FLR_99	0.709310056141	Centipede_99	0.691396631537	FLR_99	0.549024918743	FLR_85	0.48951048951
Centipede_95	0.838713383886	PIQ_90	0.845882760285	Cuellar_80	0.767195246068	FLR_80	0.813485969284	FLR_85	0.669338290817	FLR_99	0.687538986835	FLR_85	0.534205817657	Centipede_85	0.487089201878
PIQ_85	0.836536082314	FLR_95	0.843803946569	Wellington	0.764954529039	HINTBC	0.813010667953	PIQ_99	0.662739256049	Centipede_85	0.675416133163	PIQ_99	0.514080403165	PIQ_99	0.486588528842
PIQ_80	0.836360738781	HINTBC	0.840895802572	PIQ_80	0.764726536898	Neph	0.810479839398	PIQ_80	0.646003644243	FLR_80	0.67070898585	Centipede_99	0.50176056338	PIQ_80	0.482107094783
PIQ_90	0.835921260433	PIQ_99	0.828170655635	PIQ_90	0.762848689078	Centipede_99	0.809105201651	Centipede_85	0.612581667159	FLR_85	0.662250894645	Centipede_85	0.497779802357	Boyle	0.467021241669
FLR_99	0.829198326437	Centipede_80	0.826362489573	FLR_80	0.758124080021	Boyle	0.79724682064	Centipede_99	0.578802652746	PIQ_80	0.658175744443	PIQ_80	0.484409369973	Wellington	0.454861453101
PIQ_99	0.827844814612	Boyle	0.825633035053	PIQ_95	0.756118881119	Centipede_95	0.790637864796	TC	0.575503135362	Boyle	0.648240257395	FLR_80	0.406891230835	Centipede_99	0.432249088939
FLR_80	0.825771937754	Cuellar_85	0.824095823773	Protection	0.754693605336	FLR_95	0.788378887225	FLR_80	0.562506155816	TC	0.62683853705	Cuellar_90	0.368162940346	FLR_80	0.402060967202
FS	0.824609613322	Centipede_90	0.823991036002	PWM	0.754329590597	PIQ_90	0.781174016584	Cuellar_90	0.526962474146	Centipede_80	0.583973538199	Cuellar_80	0.328224006041	Centipede_80	0.263752092977
Boyle	0.823917536956	Cuellar_99	0.823519257618	HINTBCN	0.753703274352	Centipede_85	0.78003959478	Cuellar_80	0.508232377951	Cuellar_90	0.563400801077	TC	0.306095899406	Cuellar_90	0.256824748022
Cuellar_99	0.822622213467	HINTBCN	0.821156331006	Centipede_99	0.75348987054	FLR_90	0.776524219366	Cuellar_85	0.50695196822	Cuellar_80	0.532958238944	Centipede_80	0.300284809088	Cuellar_80	0.24955267737
FLR_90	0.820250172363	HINT	0.794551692439	Cuellar_90	0.751042384845	PIQ_99	0.77651209025	Cuellar_95	0.498912472504	Cuellar_85	0.50097261893	Cuellar_95	0.264897074756	Cuellar_95	0.233243868807
Cuellar_95	0.816289930727	Protection	0.791535342592	Centipede_90	0.749355691257	PIQ_80	0.763251419942	Cuellar_99	0.485833415411	Cuellar_95	0.452403230572	Cuellar_85	0.253845333071	Cuellar_85	0.229882793263
Cuellar_80	0.815653829738	Cuellar_95	0.790620177944	HINTBC	0.747847575128	Cuellar_85	0.738849765258	Protection	0.465404313996	Cuellar_99	0.387541449161	Cuellar_99	0.21757526511	Cuellar_99	0.224654453528
Cuellar_90	0.815547128927	Cuellar_80	0.773914223295	FS	0.746362923785	Cuellar_90	0.729008667389	PWM	0.452152894054	Protection	0.375254440395	PWM	0.217049968811	Protection	0.203860107029
Cuellar_85	0.815305000164	Cuellar_90	0.764822237941	Cuellar_95	0.743364030336	Cuellar_99	0.72798680193	Centipede_80	0.435741488558	PWM	0.239514593388	Protection	0.184875570439	PWM	0.192791949834
Centipede_80	0.758080038086	FS	0.741945678958	FLR_90	0.742982369743	Cuellar_80	0.72525361962	FS	0.405545159066	FS	0.121302406514	FS	-0.144349781674	FS	0.178822351358
